,PSA,Length,Onset,OnsetTR,OffsetTR
0,Count,3.18066906929,5.18070101738,2.0,5.0
1,12_The Real Cost Commercial-Found It-.mov,31.297068119,37.2972269058,6.0,37.0
2,Imagine,11.0,58.0215778351,47.0,
3,Count,3.56129908562,65.5613219738,62.0,66.0
4,10_The Real Cost Commercial-Any Reason-.mov,31.6777849197,97.6779367924,66.0,98.0
5,Imagine,11.0,119.021197796,108.0,
6,Count,3.07522201538,126.075368881,123.0,126.0
7,03_The Real Cost Commercial-Alison-.mov,31.2083830833,158.208611012,127.0,158.0
8,Imagine,11.0,179.033701897,168.0,
9,Count,3.60603094101,186.606060982,183.0,187.0
10,09_The Real Cost Commercial-#ReasonsNotToSmoke-.mov,31.7224650383,218.722668886,187.0,219.0
11,Imagine,11.0,240.033118963,229.0,
12,Count,3.1367521286,247.136862993,244.0,247.0
13,07_The Real Cost Commercial-Dance30_2015_04_10_TESFA-.mov,31.2697460651,279.270033836,248.0,279.0
14,Imagine,11.0,300.029805899,289.0,
15,Count,3.65071511269,307.650911808,304.0,308.0
16,02_The Real Cost Commercial-Your Teeth-.mov,31.7681920528,339.76740098,308.0,340.0
17,Imagine,11.0,361.023957014,350.0,
18,Count,3.14900684357,368.148155928,365.0,368.0
19,06_The Real Cost Commercial-#7000chemicals-.mov,31.2320580482,400.231369019,369.0,400.0
20,Imagine,11.0,421.023124933,410.0,
21,Count,3.66267299652,428.662230015,425.0,429.0
22,05_The Real Cost Commercial-Bully-.mov,31.7795050144,460.778747797,429.0,461.0
23,Imagine,11.0,482.022598982,471.0,
24,Count,3.16037201881,489.159574986,486.0,489.0
25,01_The Real Cost Commercial-Your Skin-.mov,31.2767710686,521.276148796,490.0,521.0
26,Imagine,11.0,543.019302845,532.0,
27,Count,3.14126706123,550.140535831,547.0,550.0
28,11_The Real Cost Commercial-Science Class-.mov,31.2411210537,582.240507841,551.0,582.0
29,Imagine,11.0,603.031948805,592.0,
30,Count,3.62197995186,610.621244907,607.0,611.0
31,08_The Real Cost Commercial-Band_30_2015_04_10_TESFA-.mov,31.70510602,642.704419851,611.0,643.0
32,Imagine,11.0,664.031312943,653.0,
33,Count,3.13600301743,671.135296822,668.0,671.0
34,04_The Real Cost Commercial-Stay In Control-.mov,31.2690110207,703.268404961,672.0,703.0
35,Imagine,11.0,724.027953863,713.0,
