,PSA,Length,Onset,OnsetTR,OffsetTR
0,Count,3.16155314445,5.16110086441,2.0,5.0
1,01_The Real Cost Commercial-Your Skin-.mov,31.2780160904,37.2777869701,6.0,37.0
2,Imagine,11.0,59.0384449959,48.0,
3,Count,3.10918807983,66.1088819504,63.0,66.0
4,07_The Real Cost Commercial-Dance30_2015_04_10_TESFA-.mov,31.2098269463,98.2088370323,67.0,98.0
5,Imagine,11.0,119.035301924,108.0,
6,Count,3.62422609329,126.623087883,123.0,127.0
7,03_The Real Cost Commercial-Alison-.mov,31.7406740189,158.739712954,127.0,159.0
8,Imagine,11.0,180.016094923,169.0,
9,Count,3.12158107758,187.120696068,184.0,187.0
10,04_The Real Cost Commercial-Stay In Control-.mov,31.238106966,219.237266064,188.0,219.0
11,Imagine,11.0,240.028953075,229.0,
12,Count,3.61896109581,247.618221045,244.0,248.0
13,05_The Real Cost Commercial-Bully-.mov,31.7353708744,279.734809875,248.0,280.0
14,Imagine,11.0,301.028477907,290.0,
15,Count,3.14949917793,308.148993969,305.0,308.0
16,09_The Real Cost Commercial-#ReasonsNotToSmoke-.mov,31.265930891,340.26563406,309.0,340.0
17,Imagine,11.0,361.025317907,350.0,
18,Count,3.68029713631,368.679910898,365.0,369.0
19,02_The Real Cost Commercial-Your Teeth-.mov,31.7801389694,400.77987504,369.0,401.0
20,Imagine,11.0,422.022294044,411.0,
21,Count,3.16097593307,429.16078186,426.0,429.0
22,12_The Real Cost Commercial-Found It-.mov,31.2784619331,461.277456999,430.0,461.0
23,Imagine,11.0,483.037625074,472.0,
24,Count,3.10952305794,490.108515024,487.0,490.0
25,06_The Real Cost Commercial-#7000chemicals-.mov,31.2426850796,522.241827965,491.0,522.0
26,Imagine,11.0,543.034512997,532.0,
27,Count,3.65683794022,550.656122923,547.0,551.0
28,11_The Real Cost Commercial-Science Class-.mov,31.7734670639,582.77272892,551.0,583.0
29,Imagine,11.0,604.031398058,593.0,
30,Count,3.15410208702,611.153640032,608.0,611.0
31,10_The Real Cost Commercial-Any Reason-.mov,31.2539281845,643.253633976,612.0,643.0
32,Imagine,11.0,664.012275934,653.0,
33,Count,3.61822605133,671.617820024,668.0,672.0
34,08_The Real Cost Commercial-Band_30_2015_04_10_TESFA-.mov,31.7346551418,703.734359026,672.0,704.0
35,Imagine,11.0,725.024364948,714.0,
