,PSA,Length,Onset,OnsetTR,OffsetTR
0,Count,3.08364009857,5.08333301544,2.0,5.0
1,04_The Real Cost Commercial-Stay In Control-.mov,31.2169208527,37.2166469097,6.0,37.0
2,Imagine,11.0,58.0252790451,47.0,
3,Count,3.58102297783,65.5807759762,62.0,66.0
4,12_The Real Cost Commercial-Found It-.mov,31.7318501472,97.7307920456,66.0,98.0
5,Imagine,11.0,119.024141073,108.0,
6,Count,3.12946105003,126.128255844,123.0,126.0
7,10_The Real Cost Commercial-Any Reason-.mov,31.245994091,158.244889975,127.0,158.0
8,Imagine,11.0,179.033392906,168.0,
9,Count,3.61012792587,186.608981848,183.0,187.0
10,08_The Real Cost Commercial-Band_30_2015_04_10_TESFA-.mov,31.7099809647,218.708909988,187.0,219.0
11,Imagine,11.0,240.036407948,229.0,
12,Count,3.17415714264,247.173146009,244.0,247.0
13,11_The Real Cost Commercial-Science Class-.mov,31.273900032,279.273167849,248.0,279.0
14,Imagine,11.0,300.015179873,289.0,
15,Count,3.63820099831,307.6372509,304.0,308.0
16,07_The Real Cost Commercial-Dance30_2015_04_10_TESFA-.mov,31.7380218506,339.737261057,308.0,340.0
17,Imagine,11.0,361.030612946,350.0,
18,Count,3.15220403671,339.182163,336.0,339.0
19,06_The Real Cost Commercial-#7000chemicals-.mov,31.2687280178,371.298779011,340.0,371.0
20,Imagine,11.0,392.058218956,381.0,
21,Count,3.64746999741,428.677697897,425.0,429.0
22,05_The Real Cost Commercial-Bully-.mov,31.7640118599,460.794365883,429.0,461.0
23,Imagine,11.0,482.049984932,471.0,
24,Count,3.12832593918,489.158555031,486.0,489.0
25,02_The Real Cost Commercial-Your Teeth-.mov,31.2449119091,521.27532506,490.0,521.0
26,Imagine,11.0,542.068058968,531.0,
27,Count,3.67568898201,549.706058979,546.0,550.0
28,09_The Real Cost Commercial-#ReasonsNotToSmoke-.mov,31.7932310104,581.822746992,550.0,582.0
29,Imagine,11.0,603.048984051,592.0,
30,Count,3.15731096268,610.186836958,607.0,610.0
31,03_The Real Cost Commercial-Alison-.mov,31.2569921017,642.28677702,611.0,642.0
32,Imagine,11.0,663.042222023,652.0,
33,Count,3.62130403519,670.651028872,667.0,671.0
34,01_The Real Cost Commercial-Your Skin-.mov,31.7378578186,702.767710924,671.0,703.0
35,Imagine,11.0,778.639173031,768.0,
