,PSA,Length,Onset,OnsetTR,OffsetTR
0,Count,3.0917930603,5.09189200401,2.0,5.0
1,05_The Real Cost Commercial-Bully-.mov,31.2408130169,37.2420220375,6.0,37.0
2,Imagine,11.0,58.0344510078,47.0,
3,Count,3.60593390465,65.6060168743,62.0,66.0
4,12_The Real Cost Commercial-Found It-.mov,31.7065241337,97.7058780193,66.0,98.0
5,Imagine,11.0,119.033151865,108.0,
6,Count,3.12083697319,126.120151043,123.0,126.0
7,07_The Real Cost Commercial-Dance30_2015_04_10_TESFA-.mov,31.2040588856,158.20339489,127.0,158.0
8,Imagine,11.0,179.011353016,168.0,
9,Count,3.68482112885,186.684304953,183.0,187.0
10,06_The Real Cost Commercial-#7000chemicals-.mov,31.8013260365,218.800845861,187.0,219.0
11,Imagine,11.0,240.027453899,229.0,
12,Count,3.13214993477,247.131685972,244.0,247.0
13,02_The Real Cost Commercial-Your Teeth-.mov,31.2484829426,279.248260021,248.0,279.0
14,Imagine,11.0,300.024122,289.0,
15,Count,3.64631605148,307.645826817,304.0,308.0
16,09_The Real Cost Commercial-#ReasonsNotToSmoke-.mov,31.7792999744,339.779104948,308.0,340.0
17,Imagine,11.0,361.023033857,350.0,
18,Count,3.1268248558,368.126627922,365.0,368.0
19,03_The Real Cost Commercial-Alison-.mov,31.2435231209,400.243402958,369.0,400.0
20,Imagine,11.0,421.035737991,410.0,
21,Count,3.6743721962,428.674098969,425.0,429.0
22,11_The Real Cost Commercial-Science Class-.mov,31.8073120117,460.807302952,429.0,461.0
23,Imagine,11.0,482.03319788,471.0,
24,Count,3.17166399956,489.171561956,486.0,489.0
25,04_The Real Cost Commercial-Stay In Control-.mov,31.271791935,521.271898031,490.0,521.0
26,Imagine,11.0,542.013900042,531.0,
27,Count,3.68565011024,549.685632944,546.0,550.0
28,01_The Real Cost Commercial-Your Skin-.mov,31.8031489849,581.802278996,550.0,582.0
29,Imagine,11.0,603.029330015,592.0,
30,Count,3.18395996094,610.183109999,607.0,610.0
31,10_The Real Cost Commercial-Any Reason-.mov,31.3003389835,642.299659014,611.0,642.0
32,Imagine,11.0,663.026110888,652.0,
33,Count,3.66469597816,670.663949013,667.0,671.0
34,08_The Real Cost Commercial-Band_30_2015_04_10_TESFA-.mov,31.7477791309,702.74710083,671.0,703.0
35,Imagine,11.0,724.02231884,713.0,
