,PSA,Length,Onset,OnsetTR,OffsetTR
0,Count,3.14152598381,5.14151501656,2.0,5.0
1,10_The Real Cost Commercial-Any Reason-.mov,31.2794549465,37.2801239491,6.0,37.0
2,Imagine,11.0,59.0272400379,48.0,
3,Count,3.08881807327,66.0994749069,63.0,66.0
4,05_The Real Cost Commercial-Bully-.mov,31.177945137,98.1885008812,67.0,98.0
5,Imagine,11.0,119.050756931,108.0,
6,Count,3.58754897118,126.607719898,123.0,127.0
7,01_The Real Cost Commercial-Your Skin-.mov,31.7090251446,158.729969978,127.0,159.0
8,Imagine,11.0,180.060503006,169.0,
9,Count,3.11797499657,187.149046898,184.0,187.0
10,07_The Real Cost Commercial-Dance30_2015_04_10_TESFA-.mov,31.2061200142,219.237898827,188.0,219.0
11,Imagine,11.0,240.068090916,229.0,
12,Count,3.63216209412,247.673777819,244.0,248.0
13,12_The Real Cost Commercial-Found It-.mov,31.7538728714,279.796329975,248.0,280.0
14,Imagine,11.0,301.093714952,290.0,
15,Count,3.14615988731,308.198684931,305.0,308.0
16,09_The Real Cost Commercial-#ReasonsNotToSmoke-.mov,31.2673740387,340.320621014,309.0,340.0
17,Imagine,11.0,361.082796812,350.0,
18,Count,3.6426680088,368.706511974,365.0,369.0
19,08_The Real Cost Commercial-Band_30_2015_04_10_TESFA-.mov,31.7309398651,400.795516014,369.0,401.0
20,Imagine,11.0,422.092921019,411.0,
21,Count,3.14104413986,429.214834929,426.0,429.0
22,02_The Real Cost Commercial-Your Teeth-.mov,31.2635769844,461.337204933,430.0,461.0
23,Imagine,11.0,482.100131035,471.0,
24,Count,3.6392159462,489.722707033,486.0,490.0
25,06_The Real Cost Commercial-#7000chemicals-.mov,31.7603609562,521.844967842,490.0,522.0
26,Imagine,11.0,543.125864983,532.0,
27,Count,3.103317976,550.197542906,547.0,550.0
28,03_The Real Cost Commercial-Alison-.mov,31.2248768806,582.319803953,551.0,582.0
29,Imagine,11.0,603.133538961,592.0,
30,Count,3.65064096451,610.755759001,607.0,611.0
31,11_The Real Cost Commercial-Science Class-.mov,31.7718701363,642.877774,611.0,643.0
32,Imagine,11.0,664.141098022,653.0,
33,Count,3.13136720657,671.247009993,668.0,671.0
34,04_The Real Cost Commercial-Stay In Control-.mov,31.2525951862,703.369369984,672.0,703.0
35,Imagine,11.0,724.164273977,713.0,
