,PSA,Length,Onset,OnsetTR,OffsetTR
0,Count,3.12807607651,5.12807393074,2.0,5.0
1,07_The Real Cost Commercial-Dance30_2015_04_10_TESFA-.mov,31.2497508526,37.2504198551,6.0,37.0
2,Imagine,11.0,58.0306918621,47.0,
3,Count,3.57552194595,65.5862400532,62.0,66.0
4,09_The Real Cost Commercial-#ReasonsNotToSmoke-.mov,31.713351965,97.7252640724,66.0,98.0
5,Imagine,11.0,119.055804968,108.0,
6,Count,3.13952422142,126.161134958,123.0,126.0
7,12_The Real Cost Commercial-Found It-.mov,31.2283260822,158.250058889,127.0,158.0
8,Imagine,11.0,179.063405037,168.0,
9,Count,3.65454506874,186.686023951,183.0,187.0
10,11_The Real Cost Commercial-Science Class-.mov,31.7424020767,218.77491188,187.0,219.0
11,Imagine,11.0,240.072625875,229.0,
12,Count,3.15148591995,247.194190979,244.0,247.0
13,08_The Real Cost Commercial-Band_30_2015_04_10_TESFA-.mov,31.2566239834,279.300093889,248.0,279.0
14,Imagine,11.0,300.080203056,289.0,
15,Count,3.61587190628,307.669409037,304.0,308.0
16,04_The Real Cost Commercial-Stay In Control-.mov,31.7371268272,339.791692019,308.0,340.0
17,Imagine,11.0,361.088953018,350.0,
18,Count,3.1465280056,368.211004019,365.0,368.0
19,05_The Real Cost Commercial-Bully-.mov,31.2681019306,400.333234072,369.0,400.0
20,Imagine,11.0,421.096085072,410.0,
21,Count,3.64393186569,428.71916604,425.0,429.0
22,01_The Real Cost Commercial-Your Skin-.mov,31.7821359634,460.858191967,429.0,461.0
23,Imagine,11.0,482.105839968,471.0,
24,Count,3.10792803764,489.194052935,486.0,489.0
25,02_The Real Cost Commercial-Your Teeth-.mov,31.2138769627,521.299685955,490.0,521.0
26,Imagine,11.0,542.130207062,531.0,
27,Count,3.60633802414,549.702312946,546.0,550.0
28,10_The Real Cost Commercial-Any Reason-.mov,31.7278809547,581.82456708,550.0,582.0
29,Imagine,11.0,603.138814926,592.0,
30,Count,3.12038302422,610.227205992,607.0,610.0
31,03_The Real Cost Commercial-Alison-.mov,31.2081170082,642.316178083,611.0,642.0
32,Imagine,11.0,663.146267891,652.0,
33,Count,3.63429784775,670.752084017,667.0,671.0
34,06_The Real Cost Commercial-#7000chemicals-.mov,31.7558510303,702.874372005,671.0,703.0
35,Imagine,11.0,724.15552187,713.0,
