,PSA,Length,Onset,OnsetTR,OffsetTR
0,Count,3.08501505852,5.08463978767,2.0,5.0
1,03_The Real Cost Commercial-Alison-.mov,31.2012588978,37.2009317875,6.0,37.0
2,Imagine,11.0,58.0239298344,47.0,
3,Count,3.54910302162,65.5481979847,62.0,66.0
4,12_The Real Cost Commercial-Found It-.mov,31.6822798252,97.6815199852,66.0,98.0
5,Imagine,11.0,119.038374901,108.0,
6,Count,3.14652395248,126.145500898,123.0,126.0
7,02_The Real Cost Commercial-Your Teeth-.mov,31.2294900417,158.228593826,127.0,158.0
8,Imagine,11.0,179.01809001,168.0,
9,Count,3.64396500587,186.642758846,183.0,187.0
10,01_The Real Cost Commercial-Your Skin-.mov,31.7601540089,218.759150982,187.0,219.0
11,Imagine,11.0,240.016058922,229.0,
12,Count,3.1245200634,247.123291969,244.0,247.0
13,09_The Real Cost Commercial-#ReasonsNotToSmoke-.mov,31.2410149574,279.239810944,248.0,279.0
14,Imagine,11.0,300.029438972,289.0,
15,Count,3.62190198898,307.620433807,304.0,308.0
16,05_The Real Cost Commercial-Bully-.mov,31.7049379349,339.703621864,308.0,340.0
17,Imagine,11.0,361.027161837,350.0,
18,Count,3.13482689857,368.13435483,365.0,368.0
19,04_The Real Cost Commercial-Stay In Control-.mov,31.2523269653,400.250988007,369.0,400.0
20,Imagine,11.0,421.024091005,410.0,
21,Count,3.64887595177,428.648245811,425.0,429.0
22,08_The Real Cost Commercial-Band_30_2015_04_10_TESFA-.mov,31.766972065,460.765448809,429.0,461.0
23,Imagine,11.0,482.038300991,471.0,
24,Count,3.11293411255,489.112205982,486.0,489.0
25,11_The Real Cost Commercial-Science Class-.mov,31.229339838,521.228705883,490.0,521.0
26,Imagine,11.0,542.018358946,531.0,
27,Count,3.64370393753,549.642810822,546.0,550.0
28,07_The Real Cost Commercial-Dance30_2015_04_10_TESFA-.mov,31.7598819733,581.759163857,550.0,582.0
29,Imagine,11.0,603.016107798,592.0,
30,Count,3.15755295753,610.156584978,607.0,610.0
31,06_The Real Cost Commercial-#7000chemicals-.mov,31.2406840324,642.239899874,611.0,642.0
32,Imagine,11.0,663.02946496,652.0,
33,Count,3.60491800308,670.603881836,667.0,671.0
34,10_The Real Cost Commercial-Any Reason-.mov,31.7213609219,702.720316887,671.0,703.0
35,Imagine,11.0,724.027405977,713.0,
