,PSA,Length,Onset,OnsetTR,OffsetTR
0,Count,3.10539889336,5.10508394241,2.0,5.0
1,07_The Real Cost Commercial-Dance30_2015_04_10_TESFA-.mov,31.2226018906,37.2225871086,6.0,37.0
2,Imagine,11.0,58.0314040184,47.0,
3,Count,3.55273914337,65.5541169643,62.0,66.0
4,12_The Real Cost Commercial-Found It-.mov,31.6700110435,97.6717331409,66.0,98.0
5,Imagine,11.0,119.029894114,108.0,
6,Count,3.10006713867,126.103415012,123.0,126.0
7,03_The Real Cost Commercial-Alison-.mov,31.2006120682,158.204234123,127.0,158.0
8,Imagine,11.0,179.043496132,168.0,
9,Count,3.61406517029,186.619246006,183.0,187.0
10,08_The Real Cost Commercial-Band_30_2015_04_10_TESFA-.mov,31.697920084,218.703356981,187.0,219.0
11,Imagine,11.0,240.026986122,229.0,
12,Count,3.11149120331,247.118427992,244.0,247.0
13,05_The Real Cost Commercial-Bully-.mov,31.2286350727,279.235912085,248.0,279.0
14,Imagine,11.0,300.028301954,289.0,
15,Count,3.62545704842,307.634233952,304.0,308.0
16,04_The Real Cost Commercial-Stay In Control-.mov,31.7437908649,339.751754999,308.0,340.0
17,Imagine,11.0,361.025030136,350.0,
18,Count,3.14058208466,368.150143147,365.0,368.0
19,01_The Real Cost Commercial-Your Skin-.mov,31.2411777973,400.251024008,369.0,400.0
20,Imagine,11.0,421.040863991,410.0,
21,Count,3.63783311844,428.649260998,425.0,429.0
22,11_The Real Cost Commercial-Science Class-.mov,31.7550849915,460.766833067,429.0,461.0
23,Imagine,11.0,482.040686131,471.0,
24,Count,3.16848397255,489.181823969,486.0,489.0
25,10_The Real Cost Commercial-Any Reason-.mov,31.2690658569,521.282680035,490.0,521.0
26,Imagine,11.0,542.043491125,531.0,
27,Count,3.64926195145,549.664304972,546.0,550.0
28,06_The Real Cost Commercial-#7000chemicals-.mov,31.7665569782,581.78194809,550.0,582.0
29,Imagine,11.0,603.055356979,592.0,
30,Count,3.11327385902,610.130212069,607.0,610.0
31,02_The Real Cost Commercial-Your Teeth-.mov,31.230451107,642.247669935,611.0,642.0
32,Imagine,11.0,663.056412935,652.0,
33,Count,3.62723493576,670.646046162,667.0,671.0
34,09_The Real Cost Commercial-#ReasonsNotToSmoke-.mov,31.7445068359,702.763499975,671.0,703.0
35,Imagine,11.0,724.037065029,713.0,
