,PSA,Length,Onset,OnsetTR,OffsetTR
0,Count,3.11441993713,5.11401700974,2.0,5.0
1,11_The Real Cost Commercial-Science Class-.mov,31.2307839394,37.2304749489,6.0,37.0
2,Imagine,11.0,58.0195889473,47.0,
3,Count,3.57836699486,65.5779588223,62.0,66.0
4,06_The Real Cost Commercial-#7000chemicals-.mov,31.7112960815,97.7112658024,66.0,98.0
5,Imagine,11.0,119.021744967,108.0,
6,Count,3.10918784142,126.108814001,123.0,126.0
7,10_The Real Cost Commercial-Any Reason-.mov,31.2422349453,158.242038965,127.0,158.0
8,Imagine,11.0,179.031212807,168.0,
9,Count,3.60651111603,186.606143951,183.0,187.0
10,02_The Real Cost Commercial-Your Teeth-.mov,31.6896800995,218.689441919,187.0,219.0
11,Imagine,11.0,240.031253815,229.0,
12,Count,3.13702702522,247.136879921,244.0,247.0
13,01_The Real Cost Commercial-Your Skin-.mov,31.2544980049,279.253479004,248.0,279.0
14,Imagine,11.0,300.027924776,289.0,
15,Count,3.63531184196,307.634303808,304.0,308.0
16,07_The Real Cost Commercial-Dance30_2015_04_10_TESFA-.mov,31.7352697849,339.734259844,308.0,340.0
17,Imagine,11.0,361.024625778,350.0,
18,Count,3.14951300621,368.148381948,365.0,368.0
19,12_The Real Cost Commercial-Found It-.mov,31.2659330368,400.264977932,369.0,400.0
20,Imagine,11.0,421.020445824,410.0,
21,Count,3.63027691841,428.62911582,425.0,429.0
22,03_The Real Cost Commercial-Alison-.mov,31.7132689953,460.712328911,429.0,461.0
23,Imagine,11.0,482.020765781,471.0,
24,Count,3.14417982101,489.143181801,486.0,489.0
25,08_The Real Cost Commercial-Band_30_2015_04_10_TESFA-.mov,31.2439801693,521.243071795,490.0,521.0
26,Imagine,11.0,542.017499924,531.0,
27,Count,3.65819001198,549.657311916,546.0,550.0
28,04_The Real Cost Commercial-Stay In Control-.mov,31.7412700653,581.740509987,550.0,582.0
29,Imagine,11.0,603.030190945,592.0,
30,Count,3.13901805878,610.13800478,607.0,610.0
31,05_The Real Cost Commercial-Bully-.mov,31.2563149929,642.254535913,611.0,642.0
32,Imagine,11.0,663.029613972,652.0,
33,Count,3.63728284836,670.635374784,667.0,671.0
34,09_The Real Cost Commercial-#ReasonsNotToSmoke-.mov,31.7203788757,702.718619823,671.0,703.0
35,Imagine,11.0,724.029049873,713.0,
