,PSA,Length,Onset,OnsetTR,OffsetTR
0,Count,3.10624885559,5.10579109192,2.0,5.0
1,05_The Real Cost Commercial-Bully-.mov,31.1897621155,37.1893851757,6.0,37.0
2,Imagine,11.0,58.0243630409,47.0,
3,Count,3.54126596451,65.5407280922,62.0,66.0
4,06_The Real Cost Commercial-#7000chemicals-.mov,31.6536140442,97.6535491943,66.0,98.0
5,Imagine,11.0,119.026437044,108.0,
6,Count,3.10129380226,126.100855112,123.0,126.0
7,12_The Real Cost Commercial-Found It-.mov,31.2178521156,158.217478037,127.0,158.0
8,Imagine,11.0,179.025607109,168.0,
9,Count,3.61599111557,186.615513086,183.0,187.0
10,09_The Real Cost Commercial-#ReasonsNotToSmoke-.mov,31.6993570328,218.69888711,187.0,219.0
11,Imagine,11.0,240.016993999,229.0,
12,Count,3.12986493111,247.129270077,244.0,247.0
13,03_The Real Cost Commercial-Alison-.mov,31.2465219498,279.246087074,248.0,279.0
14,Imagine,11.0,300.019083977,289.0,
15,Count,3.64398503304,307.643352985,304.0,308.0
16,08_The Real Cost Commercial-Band_30_2015_04_10_TESFA-.mov,31.7265789509,339.726063013,308.0,340.0
17,Imagine,11.0,361.020992041,350.0,
18,Count,3.10686087608,368.106299162,365.0,368.0
19,02_The Real Cost Commercial-Your Teeth-.mov,31.2243039608,400.222805977,369.0,400.0
20,Imagine,11.0,421.017593145,410.0,
21,Count,3.60546898842,428.603850126,425.0,429.0
22,01_The Real Cost Commercial-Your Skin-.mov,31.7225439548,460.72102809,429.0,461.0
23,Imagine,11.0,482.030183077,471.0,
24,Count,3.12022399902,489.118595123,486.0,489.0
25,07_The Real Cost Commercial-Dance30_2015_04_10_TESFA-.mov,31.2024381161,521.201006174,490.0,521.0
26,Imagine,11.0,542.011864185,531.0,
27,Count,3.63434696198,549.632599115,546.0,550.0
28,11_The Real Cost Commercial-Science Class-.mov,31.7504768372,581.748840094,550.0,582.0
29,Imagine,11.0,603.014851093,592.0,
30,Count,3.09789705276,610.096232176,607.0,610.0
31,04_The Real Cost Commercial-Stay In Control-.mov,31.2151498795,642.213613033,611.0,642.0
32,Imagine,11.0,663.020090103,652.0,
33,Count,3.61188912392,670.610118151,667.0,671.0
34,10_The Real Cost Commercial-Any Reason-.mov,31.6947510242,702.69317317,671.0,703.0
35,Imagine,11.0,724.019416094,713.0,
