,PSA,Length,Onset,OnsetTR,OffsetTR
0,Count,3.20064401627,5.19946098328,2.0,5.0
1,04_The Real Cost Commercial-Stay In Control-.mov,31.4162390232,37.415364027,6.0,37.0
2,Imagine,11.0,59.0418260098,48.0,
3,Count,3.14789605141,66.1456649303,63.0,66.0
4,03_The Real Cost Commercial-Alison-.mov,31.2306120396,98.2281439304,67.0,98.0
5,Imagine,11.0,119.021144867,108.0,
6,Count,3.6122610569,126.608310938,123.0,127.0
7,01_The Real Cost Commercial-Your Skin-.mov,31.7280988693,158.724164963,127.0,159.0
8,Imagine,11.0,180.016505957,169.0,
9,Count,3.12592101097,187.121017933,184.0,187.0
10,05_The Real Cost Commercial-Bully-.mov,31.2431600094,219.236908913,188.0,219.0
11,Imagine,11.0,240.00901103,229.0,
12,Count,3.64130401611,247.633728981,244.0,248.0
13,02_The Real Cost Commercial-Your Teeth-.mov,31.7738320827,279.766243935,248.0,280.0
14,Imagine,11.0,301.022891045,290.0,
15,Count,3.12205600739,308.113088846,305.0,308.0
16,06_The Real Cost Commercial-#7000chemicals-.mov,31.2041079998,340.195538998,309.0,340.0
17,Imagine,11.0,361.021147013,350.0,
18,Count,3.68566179276,368.675756931,365.0,369.0
19,07_The Real Cost Commercial-Dance30_2015_04_10_TESFA-.mov,31.8019080162,400.791664839,369.0,401.0
20,Imagine,11.0,422.018106937,411.0,
21,Count,3.14996790886,429.138447046,426.0,429.0
22,12_The Real Cost Commercial-Found It-.mov,31.2324631214,461.220964909,430.0,461.0
23,Imagine,11.0,482.030417919,471.0,
24,Count,3.68071913719,489.66781497,486.0,490.0
25,11_The Real Cost Commercial-Science Class-.mov,31.7799310684,521.767043829,490.0,522.0
26,Imagine,11.0,543.026541948,532.0,
27,Count,3.17781996727,550.163851976,547.0,550.0
28,09_The Real Cost Commercial-#ReasonsNotToSmoke-.mov,31.2770998478,582.262956858,551.0,582.0
29,Imagine,11.0,603.022023916,592.0,
30,Count,3.70856595039,610.693183899,607.0,611.0
31,08_The Real Cost Commercial-Band_30_2015_04_10_TESFA-.mov,31.8090558052,642.792588949,611.0,643.0
32,Imagine,11.0,664.00138092,653.0,
33,Count,3.15690493584,671.139189959,668.0,671.0
34,10_The Real Cost Commercial-Any Reason-.mov,31.2728559971,703.255138874,672.0,703.0
35,Imagine,11.0,725.015411854,714.0,
