,PSA,Length,Onset,OnsetTR,OffsetTR
0,Count,3.10002708435,5.09971308708,2.0,5.0
1,10_The Real Cost Commercial-Any Reason-.mov,31.2167038918,37.2164611816,6.0,37.0
2,Imagine,11.0,58.025231123,47.0,
3,Count,3.58086800575,65.5806100368,62.0,66.0
4,01_The Real Cost Commercial-Your Skin-.mov,31.7139890194,97.7139570713,66.0,98.0
5,Imagine,11.0,119.040837049,108.0,
6,Count,3.11149716377,126.111489058,123.0,126.0
7,05_The Real Cost Commercial-Bully-.mov,31.211288929,158.211472988,127.0,158.0
8,Imagine,11.0,179.037760973,168.0,
9,Count,3.62548303604,186.625703096,183.0,187.0
10,04_The Real Cost Commercial-Stay In Control-.mov,31.7253620625,218.725659132,187.0,219.0
11,Imagine,11.0,240.01870513,229.0,
12,Count,3.12284183502,247.123319149,244.0,247.0
13,09_The Real Cost Commercial-#ReasonsNotToSmoke-.mov,31.2560548782,279.256648064,248.0,279.0
14,Imagine,11.0,300.012013197,289.0,
15,Count,3.67022299767,307.670826197,304.0,308.0
16,11_The Real Cost Commercial-Science Class-.mov,31.8044052124,339.804157019,308.0,340.0
17,Imagine,11.0,361.031107187,350.0,
18,Count,3.15195798874,368.151777983,365.0,368.0
19,02_The Real Cost Commercial-Your Teeth-.mov,31.2851560116,400.285060167,369.0,400.0
20,Imagine,11.0,421.027933121,410.0,
21,Count,3.6492459774,428.649242163,425.0,429.0
22,06_The Real Cost Commercial-#7000chemicals-.mov,31.799120903,460.799328089,429.0,461.0
23,Imagine,11.0,482.024870157,471.0,
24,Count,3.16321492195,489.163486004,486.0,489.0
25,08_The Real Cost Commercial-Band_30_2015_04_10_TESFA-.mov,31.3130688667,521.313519001,490.0,521.0
26,Imagine,11.0,543.040405989,532.0,
27,Count,3.11082983017,550.111309052,547.0,550.0
28,12_The Real Cost Commercial-Found It-.mov,31.2440578938,582.244651079,551.0,582.0
29,Imagine,11.0,603.037187099,592.0,
30,Count,3.62489199638,610.625485182,607.0,611.0
31,07_The Real Cost Commercial-Dance30_2015_04_10_TESFA-.mov,31.7580280304,642.758846045,611.0,643.0
32,Imagine,11.0,664.017372131,653.0,
33,Count,3.15557217598,671.156435013,668.0,671.0
34,03_The Real Cost Commercial-Alison-.mov,31.2730720043,703.273090124,672.0,703.0
35,Imagine,11.0,724.014979124,713.0,
