,PSA,Length,Onset,OnsetTR,OffsetTR
0,Count,3.07276892662,5.07228899002,2.0,5.0
1,05_The Real Cost Commercial-Bully-.mov,31.18988204,37.188503027,6.0,37.0
2,Imagine,11.0,58.0275890827,47.0,
3,Count,3.53674888611,65.5357270241,62.0,66.0
4,08_The Real Cost Commercial-Band_30_2015_04_10_TESFA-.mov,31.6205511093,97.6185901165,66.0,98.0
5,Imagine,11.0,119.00823307,108.0,
6,Count,3.08408498764,126.082533121,123.0,126.0
7,11_The Real Cost Commercial-Science Class-.mov,31.2003557682,158.19880414,127.0,158.0
8,Imagine,11.0,179.020843983,168.0,
9,Count,3.59812903404,186.595972061,183.0,187.0
10,06_The Real Cost Commercial-#7000chemicals-.mov,31.7142219543,218.712171078,187.0,219.0
11,Imagine,11.0,240.018116951,229.0,
12,Count,3.11223578453,247.109405041,244.0,247.0
13,01_The Real Cost Commercial-Your Skin-.mov,31.2283008099,279.225635052,248.0,279.0
14,Imagine,11.0,300.01513195,289.0,
15,Count,3.62624001503,307.622770071,304.0,308.0
16,10_The Real Cost Commercial-Any Reason-.mov,31.7423930168,339.739031076,308.0,340.0
17,Imagine,11.0,361.028214931,350.0,
18,Count,3.12344884872,368.119418144,365.0,368.0
19,03_The Real Cost Commercial-Alison-.mov,31.2062249184,400.20223093,369.0,400.0
20,Imagine,11.0,421.024163008,410.0,
21,Count,3.62094497681,428.616090059,425.0,429.0
22,09_The Real Cost Commercial-#ReasonsNotToSmoke-.mov,31.7203538418,460.715615988,429.0,461.0
23,Imagine,11.0,482.005381107,471.0,
24,Count,3.11817002296,489.112728119,486.0,489.0
25,04_The Real Cost Commercial-Stay In Control-.mov,31.2343451977,521.228953123,490.0,521.0
26,Imagine,11.0,542.01759696,531.0,
27,Count,3.64894604683,549.642725945,546.0,550.0
28,02_The Real Cost Commercial-Your Teeth-.mov,31.7316439152,581.725502014,550.0,582.0
29,Imagine,11.0,603.014805079,592.0,
30,Count,3.14532399178,610.139300108,607.0,610.0
31,12_The Real Cost Commercial-Found It-.mov,31.2456018925,642.238707066,611.0,642.0
32,Imagine,11.0,663.011021137,652.0,
33,Count,3.65930008888,670.652476072,667.0,671.0
34,07_The Real Cost Commercial-Dance30_2015_04_10_TESFA-.mov,31.7420489788,702.735258102,671.0,703.0
35,Imagine,11.0,724.024488926,713.0,
