,PSA,Length,Onset,OnsetTR,OffsetTR
0,Count,3.13941907883,5.13910794258,2.0,5.0
1,06_The Real Cost Commercial-#7000chemicals-.mov,31.255851984,37.2556889057,6.0,37.0
2,Imagine,11.0,58.0300559998,47.0,
3,Count,3.55338597298,65.5530850887,62.0,66.0
4,01_The Real Cost Commercial-Your Skin-.mov,31.6693909168,97.669604063,66.0,98.0
5,Imagine,11.0,119.029511929,108.0,
6,Count,3.10072207451,126.100465059,123.0,126.0
7,07_The Real Cost Commercial-Dance30_2015_04_10_TESFA-.mov,31.1838209629,158.183655024,127.0,158.0
8,Imagine,11.0,179.023596048,168.0,
9,Count,3.63155698776,186.63115406,183.0,187.0
10,05_The Real Cost Commercial-Bully-.mov,31.7145121098,218.714358091,187.0,219.0
11,Imagine,11.0,240.02302289,229.0,
12,Count,3.129778862,247.128495932,244.0,247.0
13,10_The Real Cost Commercial-Any Reason-.mov,31.2129118443,279.211774111,248.0,279.0
14,Imagine,11.0,300.016988039,289.0,
15,Count,3.64375901222,307.642571926,304.0,308.0
16,09_The Real Cost Commercial-#ReasonsNotToSmoke-.mov,31.7435519695,339.742512941,308.0,340.0
17,Imagine,11.0,361.035054922,350.0,
18,Count,3.12458491325,368.123308897,365.0,368.0
19,02_The Real Cost Commercial-Your Teeth-.mov,31.2408912182,400.239744902,369.0,400.0
20,Imagine,11.0,421.029102087,410.0,
21,Count,3.63858699799,428.637305975,425.0,429.0
22,03_The Real Cost Commercial-Alison-.mov,31.7715761662,460.770549059,429.0,461.0
23,Imagine,11.0,482.012448072,471.0,
24,Count,3.15247607231,489.151290894,486.0,489.0
25,08_The Real Cost Commercial-Band_30_2015_04_10_TESFA-.mov,31.2356390953,521.234570026,490.0,521.0
26,Imagine,11.0,542.0251019,531.0,
27,Count,3.63314986229,549.631989956,546.0,550.0
28,11_The Real Cost Commercial-Science Class-.mov,31.7506299019,581.748572111,550.0,582.0
29,Imagine,11.0,603.021395922,592.0,
30,Count,3.13147592545,610.129340887,607.0,610.0
31,12_The Real Cost Commercial-Found It-.mov,31.2145111561,642.212596893,611.0,642.0
32,Imagine,11.0,663.018393993,652.0,
33,Count,3.66234993935,670.660094976,667.0,671.0
34,04_The Real Cost Commercial-Stay In Control-.mov,31.7453391552,702.743277073,671.0,703.0
35,Imagine,11.0,724.02047205,713.0,
