,PSA,Length,Onset,OnsetTR,OffsetTR
0,Count,3.07421708107,5.07388305664,2.0,5.0
1,06_The Real Cost Commercial-#7000chemicals-.mov,31.2074279785,37.2072169781,6.0,37.0
2,Imagine,11.0,58.013381958,47.0,
3,Count,3.57162618637,65.5713839531,62.0,66.0
4,01_The Real Cost Commercial-Your Skin-.mov,31.6890208721,97.687969923,66.0,98.0
5,Imagine,11.0,119.027549028,108.0,
6,Count,3.17000102997,126.168900967,123.0,126.0
7,10_The Real Cost Commercial-Any Reason-.mov,31.2863631248,158.285471916,127.0,158.0
8,Imagine,11.0,179.028879881,168.0,
9,Count,3.66723299026,186.666383982,183.0,187.0
10,03_The Real Cost Commercial-Alison-.mov,31.7838630676,218.783060074,187.0,219.0
11,Imagine,11.0,240.042048931,229.0,
12,Count,3.1645989418,247.163894892,244.0,247.0
13,07_The Real Cost Commercial-Dance30_2015_04_10_TESFA-.mov,31.2643179893,279.263817072,248.0,279.0
14,Imagine,11.0,300.019902945,289.0,
15,Count,3.6620349884,307.661436081,304.0,308.0
16,05_The Real Cost Commercial-Bully-.mov,31.778441906,339.777935028,308.0,340.0
17,Imagine,11.0,361.019721031,350.0,
18,Count,3.14259386063,368.142163038,365.0,368.0
19,12_The Real Cost Commercial-Found It-.mov,31.2758440971,400.275475979,369.0,400.0
20,Imagine,11.0,421.018836975,410.0,
21,Count,3.67341113091,428.67303896,425.0,429.0
22,09_The Real Cost Commercial-#ReasonsNotToSmoke-.mov,31.7898261547,460.789625883,429.0,461.0
23,Imagine,11.0,482.031928062,471.0,
24,Count,3.13735985756,489.137181997,486.0,489.0
25,11_The Real Cost Commercial-Science Class-.mov,31.2537910938,521.253787041,490.0,521.0
26,Imagine,11.0,542.028815031,531.0,
27,Count,3.6347079277,549.634721041,546.0,550.0
28,04_The Real Cost Commercial-Stay In Control-.mov,31.7521970272,581.75129199,550.0,582.0
29,Imagine,11.0,603.028277874,592.0,
30,Count,3.13289499283,610.132181883,607.0,610.0
31,08_The Real Cost Commercial-Band_30_2015_04_10_TESFA-.mov,31.2160439491,642.215415001,611.0,642.0
32,Imagine,11.0,663.025074005,652.0,
33,Count,3.68040895462,670.679651022,667.0,671.0
34,02_The Real Cost Commercial-Your Teeth-.mov,31.7635419369,702.762935877,671.0,703.0
35,Imagine,11.0,724.021900892,713.0,
