,PSA,Length,Onset,OnsetTR,OffsetTR
0,Count,3.1058819294,5.10543513298,2.0,5.0
1,04_The Real Cost Commercial-Stay In Control-.mov,31.2223279476,37.2219221592,6.0,37.0
2,Imagine,11.0,58.0317640305,47.0,
3,Count,3.60320997238,65.6027150154,62.0,66.0
4,11_The Real Cost Commercial-Science Class-.mov,31.7204968929,97.7192151546,66.0,98.0
5,Imagine,11.0,119.025640011,108.0,
6,Count,3.13485193253,126.133412123,123.0,126.0
7,07_The Real Cost Commercial-Dance30_2015_04_10_TESFA-.mov,31.2346980572,158.233280182,127.0,158.0
8,Imagine,11.0,179.024898052,168.0,
9,Count,3.64881801605,186.64737916,183.0,187.0
10,02_The Real Cost Commercial-Your Teeth-.mov,31.7651970387,218.763847113,187.0,219.0
11,Imagine,11.0,240.0200212,229.0,
12,Count,3.16291284561,247.161379099,244.0,247.0
13,06_The Real Cost Commercial-#7000chemicals-.mov,31.262611866,279.261181116,248.0,279.0
14,Imagine,11.0,300.018226147,289.0,
15,Count,3.6269338131,307.62529707,304.0,308.0
16,10_The Real Cost Commercial-Any Reason-.mov,31.7434339523,339.741911173,308.0,340.0
17,Imagine,11.0,361.01752305,350.0,
18,Count,3.14094996452,368.13935113,365.0,368.0
19,03_The Real Cost Commercial-Alison-.mov,31.2741730213,400.272709131,369.0,400.0
20,Imagine,11.0,421.027881145,410.0,
21,Count,3.65482020378,428.653333187,425.0,429.0
22,05_The Real Cost Commercial-Bully-.mov,31.7546110153,460.753133059,429.0,461.0
23,Imagine,11.0,482.026837111,471.0,
24,Count,3.13572406769,489.13400197,486.0,489.0
25,12_The Real Cost Commercial-Found It-.mov,31.2696871758,521.267184019,490.0,521.0
26,Imagine,11.0,542.023408175,531.0,
27,Count,3.63294696808,549.631276131,546.0,550.0
28,01_The Real Cost Commercial-Your Skin-.mov,31.750371933,581.747855186,550.0,582.0
29,Imagine,11.0,603.038766146,592.0,
30,Count,3.14802193642,610.145321131,607.0,610.0
31,09_The Real Cost Commercial-#ReasonsNotToSmoke-.mov,31.2643070221,642.261808157,611.0,642.0
32,Imagine,11.0,663.019379139,652.0,
33,Count,3.64531207085,670.642578125,667.0,671.0
34,08_The Real Cost Commercial-Band_30_2015_04_10_TESFA-.mov,31.7617349625,702.759081125,671.0,703.0
35,Imagine,11.0,724.016031981,713.0,
