,PSA,Length,Onset,OnsetTR,OffsetTR
0,Count,3.09072899818,5.09027194977,2.0,5.0
1,11_The Real Cost Commercial-Science Class-.mov,31.1901760101,37.1899359226,6.0,37.0
2,Imagine,11.0,58.0122089386,47.0,
3,Count,3.58792591095,65.5873169899,62.0,66.0
4,02_The Real Cost Commercial-Your Teeth-.mov,31.6709318161,97.6704289913,66.0,98.0
5,Imagine,11.0,119.027085066,108.0,
6,Count,3.11869120598,126.117815971,123.0,126.0
7,07_The Real Cost Commercial-Dance30_2015_04_10_TESFA-.mov,31.2015740871,158.200841904,127.0,158.0
8,Imagine,11.0,179.023367882,168.0,
9,Count,3.63264393806,186.631660938,183.0,187.0
10,03_The Real Cost Commercial-Alison-.mov,31.7657129765,218.764765024,187.0,219.0
11,Imagine,11.0,240.021147966,229.0,
12,Count,3.13011407852,247.128767014,244.0,247.0
13,06_The Real Cost Commercial-#7000chemicals-.mov,31.2463760376,279.24514389,248.0,279.0
14,Imagine,11.0,300.034904957,289.0,
15,Count,3.60974907875,307.609216928,304.0,308.0
16,12_The Real Cost Commercial-Found It-.mov,31.7269530296,339.725536108,308.0,340.0
17,Imagine,11.0,361.015189886,350.0,
18,Count,3.10708498955,368.10628891,365.0,368.0
19,10_The Real Cost Commercial-Any Reason-.mov,31.1901159286,400.189516068,369.0,400.0
20,Imagine,11.0,421.012396097,410.0,
21,Count,3.62110686302,428.620089054,425.0,429.0
22,01_The Real Cost Commercial-Your Skin-.mov,31.7373728752,460.73644805,429.0,461.0
23,Imagine,11.0,482.026624918,471.0,
24,Count,3.15181708336,489.150574923,486.0,489.0
25,05_The Real Cost Commercial-Bully-.mov,31.2347528934,521.233649015,490.0,521.0
26,Imagine,11.0,542.022942066,531.0,
27,Count,3.64911484718,549.647711039,546.0,550.0
28,04_The Real Cost Commercial-Stay In Control-.mov,31.7321121693,581.730797052,550.0,582.0
29,Imagine,11.0,603.020653963,592.0,
30,Count,3.16316318512,610.16156292,607.0,610.0
31,08_The Real Cost Commercial-Band_30_2015_04_10_TESFA-.mov,31.2461459637,642.24457407,611.0,642.0
32,Imagine,11.0,663.033495903,652.0,
33,Count,3.64388489723,670.641988039,667.0,671.0
34,09_The Real Cost Commercial-#ReasonsNotToSmoke-.mov,31.7266998291,702.724983931,671.0,703.0
35,Imagine,11.0,724.014750004,713.0,
