,PSA,Length,Onset,OnsetTR,OffsetTR
0,Count,3.13717913628,5.13779807091,2.0,5.0
1,03_The Real Cost Commercial-Alison-.mov,31.2720019817,37.2719810009,6.0,37.0
2,Imagine,11.0,59.0287461281,48.0,
3,Count,3.10231900215,66.1038880348,63.0,66.0
4,07_The Real Cost Commercial-Dance30_2015_04_10_TESFA-.mov,31.2191610336,98.2213380337,67.0,98.0
5,Imagine,11.0,119.030004978,108.0,
6,Count,3.61619997025,126.619741201,123.0,127.0
7,12_The Real Cost Commercial-Found It-.mov,31.7345979214,158.737209082,127.0,159.0
8,Imagine,11.0,180.031221151,169.0,
9,Count,3.13130903244,187.13559413,184.0,187.0
10,10_The Real Cost Commercial-Any Reason-.mov,31.2485640049,219.253087997,188.0,219.0
11,Imagine,11.0,240.045773983,229.0,
12,Count,3.61190986633,247.618048191,244.0,248.0
13,08_The Real Cost Commercial-Band_30_2015_04_10_TESFA-.mov,31.728924036,279.735515118,248.0,280.0
14,Imagine,11.0,301.044334173,290.0,
15,Count,3.1093249321,308.117259026,305.0,308.0
16,09_The Real Cost Commercial-#ReasonsNotToSmoke-.mov,31.1933259964,340.201449156,309.0,340.0
17,Imagine,11.0,361.024109125,350.0,
18,Count,3.6233651638,368.633048058,365.0,369.0
19,11_The Real Cost Commercial-Science Class-.mov,31.7406032085,400.750611067,369.0,401.0
20,Imagine,11.0,422.025083065,411.0,
21,Count,3.13739514351,429.148948193,426.0,429.0
22,04_The Real Cost Commercial-Stay In Control-.mov,31.2379331589,461.249794006,430.0,461.0
23,Imagine,11.0,482.042400122,471.0,
24,Count,3.61792016029,489.631412029,486.0,490.0
25,06_The Real Cost Commercial-#7000chemicals-.mov,31.7362570763,521.748934984,490.0,522.0
26,Imagine,11.0,543.039650202,532.0,
27,Count,3.14977693558,550.164048195,547.0,550.0
28,05_The Real Cost Commercial-Bully-.mov,31.2334969044,582.248115063,551.0,582.0
29,Imagine,11.0,603.042104006,592.0,
30,Count,3.63047122955,610.646444082,607.0,611.0
31,01_The Real Cost Commercial-Your Skin-.mov,31.7142531872,642.730615139,611.0,643.0
32,Imagine,11.0,664.040621996,653.0,
33,Count,3.14444494247,671.162332058,668.0,671.0
34,02_The Real Cost Commercial-Your Teeth-.mov,31.245112896,703.263199091,672.0,703.0
35,Imagine,11.0,724.055116177,713.0,
