,PSA,Length,Onset,OnsetTR,OffsetTR
0,Count,3.16065788269,5.16043400764,2.0,5.0
1,07_The Real Cost Commercial-Dance30_2015_04_10_TESFA-.mov,31.3106899261,37.310489893,6.0,37.0
2,Imagine,11.0,59.0362989902,48.0,
3,Count,3.15836906433,66.15812397,63.0,66.0
4,02_The Real Cost Commercial-Your Teeth-.mov,31.2582190037,98.2580339909,67.0,98.0
5,Imagine,11.0,119.033141851,108.0,
6,Count,3.62234592438,126.622200966,123.0,127.0
7,03_The Real Cost Commercial-Alison-.mov,31.7222318649,158.722136974,127.0,159.0
8,Imagine,11.0,180.03263092,169.0,
9,Count,3.15312004089,187.153035879,184.0,187.0
10,11_The Real Cost Commercial-Science Class-.mov,31.2537858486,219.252883911,188.0,219.0
11,Imagine,11.0,240.025564909,229.0,
12,Count,3.66809916496,247.667121887,244.0,248.0
13,12_The Real Cost Commercial-Found It-.mov,31.767676115,279.767055988,248.0,280.0
14,Imagine,11.0,301.025542974,290.0,
15,Count,3.16536402702,308.16452384,305.0,308.0
16,06_The Real Cost Commercial-#7000chemicals-.mov,31.281760931,340.281147003,309.0,340.0
17,Imagine,11.0,361.022258997,350.0,
18,Count,3.66280698776,368.661970854,365.0,369.0
19,04_The Real Cost Commercial-Stay In Control-.mov,31.7959330082,400.795308828,369.0,401.0
20,Imagine,11.0,422.021703005,411.0,
21,Count,3.19356298447,429.192808867,426.0,429.0
22,08_The Real Cost Commercial-Band_30_2015_04_10_TESFA-.mov,31.3099548817,461.30941391,430.0,461.0
23,Imagine,11.0,483.018545866,472.0,
24,Count,3.09108400345,490.090404987,487.0,490.0
25,05_The Real Cost Commercial-Bully-.mov,31.1907601357,522.190310001,491.0,522.0
26,Imagine,11.0,543.033959866,532.0,
27,Count,3.60510706902,550.604526997,547.0,551.0
28,10_The Real Cost Commercial-Any Reason-.mov,31.6890940666,582.687737942,551.0,583.0
29,Imagine,11.0,604.030696869,593.0,
30,Count,3.17013096809,611.168662786,608.0,611.0
31,09_The Real Cost Commercial-#ReasonsNotToSmoke-.mov,31.3031628132,643.301937819,612.0,643.0
32,Imagine,11.0,664.027390957,653.0,
33,Count,3.6506550312,671.649377823,668.0,672.0
34,01_The Real Cost Commercial-Your Skin-.mov,31.7837781906,703.782668829,672.0,704.0
35,Imagine,11.0,725.022306919,714.0,
