,PSA,Length,Onset,OnsetTR,OffsetTR
0,Count,3.16610884666,5.16569399834,2.0,5.0
1,04_The Real Cost Commercial-Stay In Control-.mov,31.3494179249,37.3490729332,6.0,37.0
2,Imagine,11.0,58.0202419758,47.0,
3,Count,3.56365013123,65.5631279945,62.0,66.0
4,10_The Real Cost Commercial-Any Reason-.mov,31.6795790195,97.6793239117,66.0,98.0
5,Imagine,11.0,119.019618988,108.0,
6,Count,3.09441709518,126.093845844,123.0,126.0
7,07_The Real Cost Commercial-Dance30_2015_04_10_TESFA-.mov,31.1788520813,158.177578926,127.0,158.0
8,Imagine,11.0,179.018922806,168.0,
9,Count,3.62528896332,186.623756886,183.0,187.0
10,02_The Real Cost Commercial-Your Teeth-.mov,31.708562851,218.707173824,187.0,219.0
11,Imagine,11.0,240.018239021,229.0,
12,Count,3.12305092812,247.121490002,244.0,247.0
13,03_The Real Cost Commercial-Alison-.mov,31.23914814,279.23781395,248.0,279.0
14,Imagine,11.0,300.017525911,289.0,
15,Count,3.60342288017,307.601917982,304.0,308.0
16,01_The Real Cost Commercial-Your Skin-.mov,31.7036139965,339.702229023,308.0,340.0
17,Imagine,11.0,361.016911983,350.0,
18,Count,3.10131597519,368.099808931,365.0,368.0
19,05_The Real Cost Commercial-Bully-.mov,31.2173159122,400.215953827,369.0,400.0
20,Imagine,11.0,421.01627183,410.0,
21,Count,3.63169598579,428.630060911,425.0,429.0
22,08_The Real Cost Commercial-Band_30_2015_04_10_TESFA-.mov,31.7490348816,460.747550964,429.0,461.0
23,Imagine,11.0,482.023446798,471.0,
24,Count,3.11192417145,489.110200882,486.0,489.0
25,11_The Real Cost Commercial-Science Class-.mov,31.2287020683,521.227135897,490.0,521.0
26,Imagine,11.0,542.021251917,531.0,
27,Count,3.60907912254,549.607211828,546.0,550.0
28,06_The Real Cost Commercial-#7000chemicals-.mov,31.709651947,581.707830906,550.0,582.0
29,Imagine,11.0,603.01779294,592.0,
30,Count,3.14037084579,610.138460875,607.0,610.0
31,09_The Real Cost Commercial-#ReasonsNotToSmoke-.mov,31.2405860424,642.238780975,611.0,642.0
32,Imagine,11.0,663.013595819,652.0,
33,Count,3.65439200401,670.652259827,667.0,671.0
34,12_The Real Cost Commercial-Found It-.mov,31.7379608154,702.736219883,671.0,703.0
35,Imagine,11.0,724.02023387,713.0,
