,PSA,Length,Onset,OnsetTR,OffsetTR
0,Count,3.08788990974,5.08730506897,2.0,5.0
1,06_The Real Cost Commercial-#7000chemicals-.mov,31.2200710773,37.2194619179,6.0,37.0
2,Imagine,11.0,58.0263640881,47.0,
3,Count,3.55188083649,65.5493140221,62.0,66.0
4,03_The Real Cost Commercial-Alison-.mov,31.6672811508,97.664757967,66.0,98.0
5,Imagine,11.0,119.023792982,108.0,
6,Count,3.11597299576,126.111382008,123.0,126.0
7,01_The Real Cost Commercial-Your Skin-.mov,31.231374979,158.226789951,127.0,158.0
8,Imagine,11.0,179.015752077,168.0,
9,Count,3.61328887939,186.606677055,183.0,187.0
10,10_The Real Cost Commercial-Any Reason-.mov,31.7454609871,218.738877058,187.0,219.0
11,Imagine,11.0,240.013101101,229.0,
12,Count,3.12732195854,247.118712902,244.0,247.0
13,08_The Real Cost Commercial-Band_30_2015_04_10_TESFA-.mov,31.2427630424,279.234185934,248.0,279.0
14,Imagine,11.0,300.026422024,289.0,
15,Count,3.6245970726,307.614063025,304.0,308.0
16,04_The Real Cost Commercial-Stay In Control-.mov,31.7411379814,339.72952199,308.0,340.0
17,Imagine,11.0,361.021184921,350.0,
18,Count,3.13960003853,368.126092911,365.0,368.0
19,11_The Real Cost Commercial-Science Class-.mov,31.2550721169,400.241549015,369.0,400.0
20,Imagine,11.0,420.997174025,410.0,
21,Count,3.65371894836,428.638112068,425.0,429.0
22,07_The Real Cost Commercial-Dance30_2015_04_10_TESFA-.mov,31.7357909679,460.720237017,429.0,461.0
23,Imagine,11.0,482.013204098,471.0,
24,Count,3.1676928997,489.150121927,486.0,489.0
25,12_The Real Cost Commercial-Found It-.mov,31.2832038403,521.265568972,490.0,521.0
26,Imagine,11.0,542.005182028,531.0,
27,Count,3.68179702759,549.662158012,546.0,550.0
28,02_The Real Cost Commercial-Your Teeth-.mov,31.8137719631,581.794234037,550.0,582.0
29,Imagine,11.0,603.002547026,592.0,
30,Count,3.14569997787,610.124159098,607.0,610.0
31,09_The Real Cost Commercial-#ReasonsNotToSmoke-.mov,31.2778990269,642.256335974,611.0,642.0
32,Imagine,11.0,663.013256073,652.0,
33,Count,3.67640399933,670.652826071,667.0,671.0
34,05_The Real Cost Commercial-Bully-.mov,31.8085842133,702.784978867,671.0,703.0
35,Imagine,11.0,724.007786989,713.0,
