,PSA,Length,Onset,OnsetTR,OffsetTR
0,Count,3.08637905121,5.0857899189,2.0,5.0
1,02_The Real Cost Commercial-Your Teeth-.mov,31.168859005,37.1683959961,6.0,37.0
2,Imagine,11.0,58.024723053,47.0,
3,Count,3.56699919701,65.565541029,62.0,66.0
4,12_The Real Cost Commercial-Found It-.mov,31.682970047,97.6814630032,66.0,98.0
5,Imagine,11.0,119.021444082,108.0,
6,Count,3.13107991219,126.128598928,123.0,126.0
7,08_The Real Cost Commercial-Band_30_2015_04_10_TESFA-.mov,31.2470088005,158.244626999,127.0,158.0
8,Imagine,11.0,179.033484936,168.0,
9,Count,3.62830710411,186.624927044,183.0,187.0
10,10_The Real Cost Commercial-Any Reason-.mov,31.7108569145,218.707540989,187.0,219.0
11,Imagine,11.0,240.013421059,229.0,
12,Count,3.09238696098,247.088008881,244.0,247.0
13,01_The Real Cost Commercial-Your Skin-.mov,31.1917748451,279.187398911,248.0,279.0
14,Imagine,11.0,300.009473085,289.0,
15,Count,3.62205195427,307.617673874,304.0,308.0
16,03_The Real Cost Commercial-Alison-.mov,31.7057030201,339.700397968,308.0,340.0
17,Imagine,11.0,361.023499012,350.0,
18,Count,3.15285587311,368.147436857,365.0,368.0
19,07_The Real Cost Commercial-Dance30_2015_04_10_TESFA-.mov,31.2353670597,400.230248928,369.0,400.0
20,Imagine,11.0,421.018565893,410.0,
21,Count,3.64999103546,428.64377594,425.0,429.0
22,04_The Real Cost Commercial-Stay In Control-.mov,31.7495310307,460.743192911,429.0,461.0
23,Imagine,11.0,482.015299082,471.0,
24,Count,3.09747982025,489.090107918,486.0,489.0
25,05_The Real Cost Commercial-Bully-.mov,31.2300388813,521.222749949,490.0,521.0
26,Imagine,11.0,542.028171062,531.0,
27,Count,3.64487290382,549.636528969,546.0,550.0
28,11_The Real Cost Commercial-Science Class-.mov,31.7774169445,581.769221067,550.0,582.0
29,Imagine,11.0,603.025512934,592.0,
30,Count,3.1421380043,610.132762909,607.0,610.0
31,06_The Real Cost Commercial-#7000chemicals-.mov,31.258138895,642.248828888,611.0,642.0
32,Imagine,11.0,663.004581928,652.0,
33,Count,3.62250804901,670.61242795,667.0,671.0
34,09_The Real Cost Commercial-#ReasonsNotToSmoke-.mov,31.7388660908,702.728546858,671.0,703.0
35,Imagine,11.0,724.017446995,713.0,
