,PSA,Length,Onset,OnsetTR,OffsetTR
0,Count,3.11224317551,5.11192703247,2.0,5.0
1,12_The Real Cost Commercial-Found It-.mov,31.2286710739,37.2284948826,6.0,37.0
2,Imagine,11.0,58.0171649456,47.0,
3,Count,3.55954885483,65.5591659546,62.0,66.0
4,02_The Real Cost Commercial-Your Teeth-.mov,31.6760280132,97.6758110523,66.0,98.0
5,Imagine,11.0,119.033815861,108.0,
6,Count,3.10690021515,126.106651068,123.0,126.0
7,10_The Real Cost Commercial-Any Reason-.mov,31.1900660992,158.18988204,127.0,158.0
8,Imagine,11.0,179.030529976,168.0,
9,Count,3.63761687279,186.637315989,183.0,187.0
10,06_The Real Cost Commercial-#7000chemicals-.mov,31.7540960312,218.753887892,187.0,219.0
11,Imagine,11.0,240.027288914,229.0,
12,Count,3.16831302643,247.168032885,244.0,247.0
13,03_The Real Cost Commercial-Alison-.mov,31.2523579597,279.251256943,248.0,279.0
14,Imagine,11.0,300.026587009,289.0,
15,Count,3.63329100609,307.632086039,304.0,308.0
16,05_The Real Cost Commercial-Bully-.mov,31.7163209915,339.715270996,308.0,340.0
17,Imagine,11.0,361.038354874,350.0,
18,Count,3.14736485481,368.146121025,365.0,368.0
19,08_The Real Cost Commercial-Band_30_2015_04_10_TESFA-.mov,31.2303190231,400.229248047,369.0,400.0
20,Imagine,11.0,421.01839304,410.0,
21,Count,3.6445441246,428.643436909,425.0,429.0
22,01_The Real Cost Commercial-Your Skin-.mov,31.7776749134,460.776665926,429.0,461.0
23,Imagine,11.0,482.016635895,471.0,
24,Count,3.15879011154,489.157584906,486.0,489.0
25,07_The Real Cost Commercial-Dance30_2015_04_10_TESFA-.mov,31.2419471741,521.240807056,490.0,521.0
26,Imagine,11.0,542.013364077,531.0,
27,Count,3.6728579998,549.671602964,546.0,550.0
28,11_The Real Cost Commercial-Science Class-.mov,31.7891969681,581.788094997,550.0,582.0
29,Imagine,11.0,603.028692007,592.0,
30,Count,3.13666820526,610.135530949,607.0,610.0
31,09_The Real Cost Commercial-#ReasonsNotToSmoke-.mov,31.2363679409,642.235414028,611.0,642.0
32,Imagine,11.0,663.028070927,652.0,
33,Count,3.6506280899,670.649604082,667.0,671.0
34,04_The Real Cost Commercial-Stay In Control-.mov,31.7682271004,702.766144037,671.0,703.0
35,Imagine,11.0,724.024749041,713.0,
