,PSA,Length,Onset,OnsetTR,OffsetTR
0,Count,3.20595002174,5.20576810837,2.0,5.0
1,04_The Real Cost Commercial-Stay In Control-.mov,31.3735029697,37.3733949661,6.0,37.0
2,Imagine,11.0,59.033010006,48.0,
3,Count,3.10363197327,66.1051371098,63.0,66.0
4,06_The Real Cost Commercial-#7000chemicals-.mov,31.2209858894,98.2228240967,67.0,98.0
5,Imagine,11.0,119.031286001,108.0,
6,Count,3.63431501389,126.637642145,123.0,127.0
7,07_The Real Cost Commercial-Dance30_2015_04_10_TESFA-.mov,31.7516150475,158.755155087,127.0,159.0
8,Imagine,11.0,180.028591156,169.0,
9,Count,3.14829587936,187.153452158,184.0,187.0
10,03_The Real Cost Commercial-Alison-.mov,31.2821838856,219.287693024,188.0,219.0
11,Imagine,11.0,241.028373003,230.0,
12,Count,3.11355614662,248.119552135,245.0,248.0
13,05_The Real Cost Commercial-Bully-.mov,31.2474570274,280.253757954,249.0,280.0
14,Imagine,11.0,301.046276093,290.0,
15,Count,3.59430289268,308.602121115,305.0,309.0
16,09_The Real Cost Commercial-#ReasonsNotToSmoke-.mov,31.711425066,340.719539165,309.0,341.0
17,Imagine,11.0,362.030615091,351.0,
18,Count,3.12485480309,369.13460207,366.0,369.0
19,02_The Real Cost Commercial-Your Teeth-.mov,31.2422308922,401.252154112,370.0,401.0
20,Imagine,11.0,422.024914026,411.0,
21,Count,3.65558195114,429.667076111,426.0,430.0
22,11_The Real Cost Commercial-Science Class-.mov,31.7728538513,461.784604073,430.0,462.0
23,Imagine,11.0,483.043728113,472.0,
24,Count,3.13631296158,490.149651051,487.0,490.0
25,01_The Real Cost Commercial-Your Skin-.mov,31.253521204,522.267145157,491.0,522.0
26,Imagine,11.0,543.042097092,532.0,
27,Count,3.61695218086,550.63212204,547.0,551.0
28,08_The Real Cost Commercial-Band_30_2015_04_10_TESFA-.mov,31.7351980209,582.749616146,551.0,583.0
29,Imagine,11.0,604.039456129,593.0,
30,Count,3.16538310051,611.181339979,608.0,611.0
31,12_The Real Cost Commercial-Found It-.mov,31.2491731644,643.26553297,612.0,643.0
32,Imagine,11.0,664.041742086,653.0,
33,Count,3.64600491524,671.663810968,668.0,672.0
34,10_The Real Cost Commercial-Any Reason-.mov,31.7799720764,703.798005104,672.0,704.0
35,Imagine,11.0,725.058997154,714.0,
