,PSA,Length,Onset,OnsetTR,OffsetTR
0,Count,3.16791605949,5.16742801666,2.0,5.0
1,09_The Real Cost Commercial-#ReasonsNotToSmoke-.mov,31.2671468258,37.2665579319,6.0,37.0
2,Imagine,11.0,58.0257308483,47.0,
3,Count,3.59865498543,65.5966370106,62.0,66.0
4,12_The Real Cost Commercial-Found It-.mov,31.7475810051,97.7457549572,66.0,98.0
5,Imagine,11.0,119.022461891,108.0,
6,Count,3.12932705879,126.125902891,123.0,126.0
7,05_The Real Cost Commercial-Bully-.mov,31.2617580891,158.258311987,127.0,158.0
8,Imagine,11.0,179.016193867,168.0,
9,Count,3.66002511978,186.655162811,183.0,187.0
10,07_The Real Cost Commercial-Dance30_2015_04_10_TESFA-.mov,31.7600560188,218.754284859,187.0,219.0
11,Imagine,11.0,240.014146805,229.0,
12,Count,3.15849018097,247.151150942,244.0,247.0
13,04_The Real Cost Commercial-Stay In Control-.mov,31.2907578945,279.283541918,248.0,279.0
14,Imagine,11.0,301.009364843,290.0,
15,Count,3.08932995796,308.080581903,305.0,308.0
16,06_The Real Cost Commercial-#7000chemicals-.mov,31.2216508389,340.212925911,309.0,340.0
17,Imagine,11.0,361.021955967,350.0,
18,Count,3.63665390015,368.626426935,365.0,369.0
19,10_The Real Cost Commercial-Any Reason-.mov,31.735683918,400.725499868,369.0,401.0
20,Imagine,11.0,422.018445015,411.0,
21,Count,3.16723585129,429.155663013,426.0,429.0
22,01_The Real Cost Commercial-Your Skin-.mov,31.2996599674,461.288158894,430.0,461.0
23,Imagine,11.0,483.015165806,472.0,
24,Count,3.14821004868,490.135173798,487.0,490.0
25,02_The Real Cost Commercial-Your Teeth-.mov,31.2816390991,522.267554998,491.0,522.0
26,Imagine,11.0,544.027544975,533.0,
27,Count,3.14682006836,551.131230831,548.0,551.0
28,03_The Real Cost Commercial-Alison-.mov,31.2791950703,583.263621807,552.0,583.0
29,Imagine,11.0,604.006716967,593.0,
30,Count,3.66083312035,611.643776894,608.0,612.0
31,11_The Real Cost Commercial-Science Class-.mov,31.77652812,643.759557009,612.0,644.0
32,Imagine,11.0,665.001904964,654.0,
33,Count,3.17486691475,672.156319857,669.0,672.0
34,08_The Real Cost Commercial-Band_30_2015_04_10_TESFA-.mov,31.2906401157,704.272089005,673.0,704.0
35,Imagine,11.0,725.998605967,715.0,
