,PSA,Length,Onset,OnsetTR,OffsetTR
0,Count,3.06816792488,5.06785988808,2.0,5.0
1,12_The Real Cost Commercial-Found It-.mov,31.18551898,37.1853680611,6.0,37.0
2,Imagine,11.0,58.0247788429,47.0,
3,Count,3.56562113762,65.5670199394,62.0,66.0
4,09_The Real Cost Commercial-#ReasonsNotToSmoke-.mov,31.6827778816,97.6845378876,66.0,98.0
5,Imagine,11.0,119.024415016,108.0,
6,Count,3.12952184677,126.132883072,123.0,126.0
7,03_The Real Cost Commercial-Alison-.mov,31.2634460926,158.267094851,127.0,158.0
8,Imagine,11.0,179.025554895,168.0,
9,Count,3.61039805412,186.615383863,183.0,187.0
10,02_The Real Cost Commercial-Your Teeth-.mov,31.7109642029,218.716204882,187.0,219.0
11,Imagine,11.0,240.042688847,229.0,
12,Count,3.141051054,247.147937059,244.0,247.0
13,05_The Real Cost Commercial-Bully-.mov,31.2257969379,279.232091904,248.0,279.0
14,Imagine,11.0,300.041188955,289.0,
15,Count,3.60605502129,307.613723993,304.0,308.0
16,11_The Real Cost Commercial-Science Class-.mov,31.6899151802,339.69786787,308.0,340.0
17,Imagine,11.0,361.039705992,350.0,
18,Count,3.15344500542,368.162977934,365.0,368.0
19,08_The Real Cost Commercial-Band_30_2015_04_10_TESFA-.mov,31.23741889,400.247180939,369.0,400.0
20,Imagine,11.0,421.040933847,410.0,
21,Count,3.63399910927,428.64542985,425.0,429.0
22,01_The Real Cost Commercial-Your Skin-.mov,31.7680029869,460.779618979,429.0,461.0
23,Imagine,11.0,482.03667593,471.0,
24,Count,3.14798402786,489.161248922,486.0,489.0
25,10_The Real Cost Commercial-Any Reason-.mov,31.2653040886,521.27878499,490.0,521.0
26,Imagine,11.0,542.035138845,531.0,
27,Count,3.64544391632,549.660449028,546.0,550.0
28,06_The Real Cost Commercial-#7000chemicals-.mov,31.7460749149,581.76128602,550.0,582.0
29,Imagine,11.0,603.038964987,592.0,
30,Count,3.15942001343,610.176284075,607.0,610.0
31,04_The Real Cost Commercial-Stay In Control-.mov,31.2777090073,642.29377985,611.0,642.0
32,Imagine,11.0,664.034575939,653.0,
33,Count,3.14138913155,671.159051895,668.0,671.0
34,07_The Real Cost Commercial-Dance30_2015_04_10_TESFA-.mov,31.2252979279,703.243202925,672.0,703.0
35,Imagine,11.0,724.051883936,713.0,
