,PSA,Length,Onset,OnsetTR,OffsetTR
0,Count,3.1095290184,5.10798406601,2.0,5.0
1,02_The Real Cost Commercial-Your Teeth-.mov,31.2430269718,37.2416141033,6.0,37.0
2,Imagine,11.0,58.0184361935,47.0,
3,Count,3.55694389343,65.5556001663,62.0,66.0
4,05_The Real Cost Commercial-Bully-.mov,31.6902167797,97.6890501976,66.0,98.0
5,Imagine,11.0,119.031154156,108.0,
6,Count,3.10429596901,126.103320122,123.0,126.0
7,09_The Real Cost Commercial-#ReasonsNotToSmoke-.mov,31.2214379311,158.220584154,127.0,158.0
8,Imagine,11.0,179.025360107,168.0,
9,Count,3.65156006813,186.650873184,183.0,187.0
10,04_The Real Cost Commercial-Stay In Control-.mov,31.73478508,218.734233141,187.0,219.0
11,Imagine,11.0,240.027657032,229.0,
12,Count,3.13234591484,247.131890059,244.0,247.0
13,03_The Real Cost Commercial-Alison-.mov,31.2488110065,279.248566151,248.0,279.0
14,Imagine,11.0,300.021304131,289.0,
15,Count,3.63064289093,307.629397154,304.0,308.0
16,01_The Real Cost Commercial-Your Skin-.mov,31.7474341393,339.746370077,308.0,340.0
17,Imagine,11.0,361.037538052,350.0,
18,Count,3.1446249485,368.14371109,365.0,368.0
19,06_The Real Cost Commercial-#7000chemicals-.mov,31.2779021263,400.277053118,369.0,400.0
20,Imagine,11.0,421.018911123,410.0,
21,Count,3.64202594757,428.641317129,425.0,429.0
22,11_The Real Cost Commercial-Science Class-.mov,31.741902113,460.741360188,429.0,461.0
23,Imagine,11.0,482.018087149,471.0,
24,Count,3.1226131916,489.122402191,486.0,489.0
25,12_The Real Cost Commercial-Found It-.mov,31.2226140499,521.222388983,490.0,521.0
26,Imagine,11.0,542.028301001,531.0,
27,Count,3.62002706528,549.619852066,546.0,550.0
28,08_The Real Cost Commercial-Band_30_2015_04_10_TESFA-.mov,31.7032930851,581.703319073,550.0,582.0
29,Imagine,11.0,603.03066206,592.0,
30,Count,3.15070700645,610.150825024,607.0,610.0
31,07_The Real Cost Commercial-Dance30_2015_04_10_TESFA-.mov,31.2347738743,642.234153032,611.0,642.0
32,Imagine,11.0,663.02752018,652.0,
33,Count,3.63232207298,670.631731987,667.0,671.0
34,10_The Real Cost Commercial-Any Reason-.mov,31.7489650249,702.748497009,671.0,703.0
35,Imagine,11.0,724.021789074,713.0,
