,PSA,Length,Onset,OnsetTR,OffsetTR
0,Count,3.09200716019,5.09163403511,2.0,5.0
1,07_The Real Cost Commercial-Dance30_2015_04_10_TESFA-.mov,31.2096788883,37.2084431648,6.0,37.0
2,Imagine,11.0,58.0160200596,47.0,
3,Count,3.54128503799,65.5398890972,62.0,66.0
4,12_The Real Cost Commercial-Found It-.mov,31.6575841904,97.6566779613,66.0,98.0
5,Imagine,11.0,119.015427113,108.0,
6,Count,3.10509085655,126.103718042,123.0,126.0
7,05_The Real Cost Commercial-Bully-.mov,31.2212150097,158.219990969,127.0,158.0
8,Imagine,11.0,179.014788151,168.0,
9,Count,3.58550715446,186.584213972,183.0,187.0
10,10_The Real Cost Commercial-Any Reason-.mov,31.7024178505,218.701195002,187.0,219.0
11,Imagine,11.0,240.019529104,229.0,
12,Count,3.11588191986,247.114544153,244.0,247.0
13,09_The Real Cost Commercial-#ReasonsNotToSmoke-.mov,31.1992170811,279.198048115,248.0,279.0
14,Imagine,11.0,300.021559,289.0,
15,Count,3.61344385147,307.611994982,304.0,308.0
16,02_The Real Cost Commercial-Your Teeth-.mov,31.7299389839,339.728710175,308.0,340.0
17,Imagine,11.0,361.020785093,350.0,
18,Count,3.11075091362,368.109330177,365.0,368.0
19,04_The Real Cost Commercial-Stay In Control-.mov,31.2275300026,400.226332188,369.0,400.0
20,Imagine,11.0,421.020105124,410.0,
21,Count,3.62536907196,428.623921156,425.0,429.0
22,01_The Real Cost Commercial-Your Skin-.mov,31.7087321281,460.707484961,429.0,461.0
23,Imagine,11.0,482.016893148,471.0,
24,Count,3.12231302261,489.121016026,486.0,489.0
25,11_The Real Cost Commercial-Science Class-.mov,31.2384119034,521.237262964,490.0,521.0
26,Imagine,11.0,542.01614809,531.0,
27,Count,3.60327887535,549.601902008,546.0,550.0
28,08_The Real Cost Commercial-Band_30_2015_04_10_TESFA-.mov,31.7190179825,581.717761993,550.0,582.0
29,Imagine,11.0,603.019217968,592.0,
30,Count,3.09581398964,610.094484091,607.0,610.0
31,06_The Real Cost Commercial-#7000chemicals-.mov,31.2175068855,642.215343952,611.0,642.0
32,Imagine,11.0,663.020905972,652.0,
33,Count,3.59751582146,670.596120119,667.0,671.0
34,03_The Real Cost Commercial-Alison-.mov,31.7155470848,702.71321106,671.0,703.0
35,Imagine,11.0,724.024868965,713.0,
