,PSA,Length,Onset,OnsetTR,OffsetTR
0,Count,3.12122488022,5.12081384659,2.0,5.0
1,03_The Real Cost Commercial-Alison-.mov,31.254295826,37.2541458607,6.0,37.0
2,Imagine,11.0,58.0475258827,47.0,
3,Count,3.55206799507,65.5516898632,62.0,66.0
4,10_The Real Cost Commercial-Any Reason-.mov,31.6514389515,97.6515619755,66.0,98.0
5,Imagine,11.0,119.029103994,108.0,
6,Count,3.09935998917,126.09910202,123.0,126.0
7,09_The Real Cost Commercial-#ReasonsNotToSmoke-.mov,31.2221989632,158.22199297,127.0,158.0
8,Imagine,11.0,179.809414864,169.0,
9,Count,3.13064193726,186.91080904,184.0,187.0
10,12_The Real Cost Commercial-Found It-.mov,31.2719721794,219.051141024,188.0,219.0
11,Imagine,11.0,239.788049936,229.0,
12,Count,3.69471406937,247.456874847,244.0,247.0
13,04_The Real Cost Commercial-Stay In Control-.mov,31.787060976,279.547217846,248.0,280.0
14,Imagine,11.0,300.783396959,290.0,
15,Count,3.15971803665,307.902887821,305.0,308.0
16,05_The Real Cost Commercial-Bully-.mov,31.2515408993,339.993718863,309.0,340.0
17,Imagine,11.0,360.761456013,350.0,
18,Count,3.67375993729,368.398890018,365.0,368.0
19,07_The Real Cost Commercial-Dance30_2015_04_10_TESFA-.mov,31.7650330067,400.489210844,369.0,400.0
20,Imagine,11.0,421.738859892,411.0,
21,Count,3.2543990612,428.961602926,426.0,429.0
22,02_The Real Cost Commercial-Your Teeth-.mov,31.3790709972,461.085319042,430.0,461.0
23,Imagine,11.0,482.705430984,472.0,
24,Count,3.13541412354,489.824465036,487.0,490.0
25,01_The Real Cost Commercial-Your Skin-.mov,31.2770729065,521.964846849,491.0,522.0
26,Imagine,11.0,543.699585915,533.0,
27,Count,3.11664295197,550.787372828,548.0,551.0
28,11_The Real Cost Commercial-Science Class-.mov,31.2413659096,582.911082983,552.0,583.0
29,Imagine,11.0,603.681442976,593.0,
30,Count,3.64721512794,611.299932003,608.0,611.0
31,08_The Real Cost Commercial-Band_30_2015_04_10_TESFA-.mov,31.7729849815,643.423750877,612.0,643.0
32,Imagine,11.0,664.6603899,654.0,
33,Count,3.19535303116,671.828977823,669.0,672.0
34,06_The Real Cost Commercial-#7000chemicals-.mov,31.2873191833,703.919975042,673.0,704.0
35,Imagine,11.0,725.636507034,715.0,
