,PSA,Length,Onset,OnsetTR,OffsetTR
0,Count,3.09846186638,5.09708213806,2.0,5.0
1,02_The Real Cost Commercial-Your Teeth-.mov,31.2150130272,37.2136950493,6.0,37.0
2,Imagine,11.0,58.0407021046,47.0,
3,Count,3.57925796509,65.5778710842,62.0,66.0
4,07_The Real Cost Commercial-Dance30_2015_04_10_TESFA-.mov,31.712282896,97.7111589909,66.0,98.0
5,Imagine,11.0,119.022004128,108.0,
6,Count,3.16004896164,126.158789158,123.0,126.0
7,06_The Real Cost Commercial-#7000chemicals-.mov,31.3098371029,158.308753014,127.0,158.0
8,Imagine,11.0,180.018870115,169.0,
9,Count,3.14085197449,187.139699936,184.0,187.0
10,12_The Real Cost Commercial-Found It-.mov,31.2740521431,219.27303195,188.0,219.0
11,Imagine,11.0,241.033615112,230.0,
12,Count,3.13840603828,248.137344122,245.0,248.0
13,03_The Real Cost Commercial-Alison-.mov,31.2716450691,280.270727158,249.0,280.0
14,Imagine,11.0,301.030451059,290.0,
15,Count,3.66919398308,308.668203115,305.0,309.0
16,04_The Real Cost Commercial-Stay In Control-.mov,31.8023338318,340.801470041,309.0,341.0
17,Imagine,11.0,362.024558067,351.0,
18,Count,3.14972114563,369.148942947,366.0,369.0
19,09_The Real Cost Commercial-#ReasonsNotToSmoke-.mov,31.284003973,401.282253027,370.0,401.0
20,Imagine,11.0,423.024601936,412.0,
21,Count,3.09840512276,430.09661293,427.0,430.0
22,05_The Real Cost Commercial-Bully-.mov,31.198112011,462.196650028,431.0,462.0
23,Imagine,11.0,483.023452997,472.0,
24,Count,3.64578700066,490.644052029,487.0,491.0
25,11_The Real Cost Commercial-Science Class-.mov,31.7455420494,522.743988991,491.0,523.0
26,Imagine,11.0,544.020811081,533.0,
27,Count,3.14302301407,551.141545057,548.0,551.0
28,01_The Real Cost Commercial-Your Skin-.mov,31.2762811184,583.274845123,552.0,583.0
29,Imagine,11.0,605.017601013,594.0,
30,Count,3.10732889175,612.105854034,609.0,612.0
31,08_The Real Cost Commercial-Band_30_2015_04_10_TESFA-.mov,31.2072768211,644.205965042,613.0,644.0
32,Imagine,11.0,665.032350063,654.0,
33,Count,3.60467791557,672.603294134,669.0,673.0
34,10_The Real Cost Commercial-Any Reason-.mov,31.7377419472,704.736515999,673.0,705.0
35,Imagine,11.0,726.029778957,715.0,
