,PSA,Length,Onset,OnsetTR,OffsetTR
0,Count,3.12079715729,5.12035608292,2.0,5.0
1,08_The Real Cost Commercial-Band_30_2015_04_10_TESFA-.mov,31.2047469616,37.204556942,6.0,37.0
2,Imagine,11.0,58.0302300453,47.0,
3,Count,3.61818790436,65.6195590496,62.0,66.0
4,10_The Real Cost Commercial-Any Reason-.mov,31.7354099751,97.7370340824,66.0,98.0
5,Imagine,11.0,119.028882027,108.0,
6,Count,3.13220691681,126.135347128,123.0,126.0
7,05_The Real Cost Commercial-Bully-.mov,31.2505278587,158.25295496,127.0,158.0
8,Imagine,11.0,179.030076027,168.0,
9,Count,3.61392498016,186.617856979,183.0,187.0
10,02_The Real Cost Commercial-Your Teeth-.mov,31.6977698803,218.701985121,187.0,219.0
11,Imagine,11.0,240.029681921,229.0,
12,Count,3.1778690815,247.183692932,244.0,247.0
13,12_The Real Cost Commercial-Found It-.mov,31.3114471436,279.31794095,248.0,279.0
14,Imagine,11.0,301.027270079,290.0,
15,Count,3.14220094681,308.149858952,305.0,308.0
16,11_The Real Cost Commercial-Science Class-.mov,31.2427690029,340.25067997,309.0,340.0
17,Imagine,11.0,361.039937019,350.0,
18,Count,3.62289500237,368.63233304,365.0,369.0
19,06_The Real Cost Commercial-#7000chemicals-.mov,31.7400281429,400.749767065,369.0,401.0
20,Imagine,11.0,422.039799929,411.0,
21,Count,3.13680100441,429.148159027,426.0,429.0
22,03_The Real Cost Commercial-Alison-.mov,31.2540390491,461.265660048,430.0,461.0
23,Imagine,11.0,482.041239023,471.0,
24,Count,3.61747384071,489.630628109,486.0,490.0
25,04_The Real Cost Commercial-Stay In Control-.mov,31.7524139881,521.764816046,490.0,522.0
26,Imagine,11.0,543.042555094,532.0,
27,Count,3.13254117966,550.146528959,547.0,550.0
28,01_The Real Cost Commercial-Your Skin-.mov,31.2663698196,582.280630112,551.0,582.0
29,Imagine,11.0,603.041158915,592.0,
30,Count,3.62985706329,610.645646095,607.0,611.0
31,09_The Real Cost Commercial-#ReasonsNotToSmoke-.mov,31.7470839024,642.763149977,611.0,643.0
32,Imagine,11.0,664.039647102,653.0,
33,Count,3.16054296494,671.178159952,668.0,671.0
34,07_The Real Cost Commercial-Dance30_2015_04_10_TESFA-.mov,31.2778871059,703.295702934,672.0,703.0
35,Imagine,11.0,724.038194895,713.0,
