,PSA,Length,Onset,OnsetTR,OffsetTR
0,Count,3.08409309387,5.08343100548,2.0,5.0
1,08_The Real Cost Commercial-Band_30_2015_04_10_TESFA-.mov,31.2169249058,37.2163090706,6.0,37.0
2,Imagine,11.0,58.0383050442,47.0,
3,Count,3.56483006477,65.5633981228,62.0,66.0
4,11_The Real Cost Commercial-Science Class-.mov,31.6474261284,97.646228075,66.0,98.0
5,Imagine,11.0,119.019635916,108.0,
6,Count,3.11226010323,126.110083103,123.0,126.0
7,05_The Real Cost Commercial-Bully-.mov,31.1947209835,158.192895889,127.0,158.0
8,Imagine,11.0,179.015552998,168.0,
9,Count,3.62610793114,186.623375893,183.0,187.0
10,04_The Real Cost Commercial-Stay In Control-.mov,31.7423758507,218.739703894,187.0,219.0
11,Imagine,11.0,240.029165983,229.0,
12,Count,3.13938808441,247.136723995,244.0,247.0
13,01_The Real Cost Commercial-Your Skin-.mov,31.2414681911,279.237966061,248.0,279.0
14,Imagine,11.0,300.02542305,289.0,
15,Count,3.61996603012,307.61661911,304.0,308.0
16,03_The Real Cost Commercial-Alison-.mov,31.7528572083,339.749677896,308.0,340.0
17,Imagine,11.0,361.022753,350.0,
18,Count,3.11718010902,368.113294125,365.0,368.0
19,06_The Real Cost Commercial-#7000chemicals-.mov,31.2501199245,400.246171951,369.0,400.0
20,Imagine,11.0,421.018014908,410.0,
21,Count,3.6313700676,428.626574993,425.0,429.0
22,12_The Real Cost Commercial-Found It-.mov,31.7658338547,460.761399984,429.0,461.0
23,Imagine,11.0,482.015393019,471.0,
24,Count,3.11195492744,489.106539011,486.0,489.0
25,10_The Real Cost Commercial-Any Reason-.mov,31.1944589615,521.18927002,490.0,521.0
26,Imagine,11.0,542.027992964,531.0,
27,Count,3.59263086319,549.58674407,546.0,550.0
28,07_The Real Cost Commercial-Dance30_2015_04_10_TESFA-.mov,31.6924469471,581.686517954,550.0,582.0
29,Imagine,11.0,603.025165081,592.0,
30,Count,3.14008808136,610.13341403,607.0,610.0
31,02_The Real Cost Commercial-Your Teeth-.mov,31.2564730644,642.249902964,611.0,642.0
32,Imagine,11.0,663.022002935,652.0,
33,Count,3.63631391525,670.629925013,667.0,671.0
34,09_The Real Cost Commercial-#ReasonsNotToSmoke-.mov,31.719894886,702.71292901,671.0,703.0
35,Imagine,11.0,724.019216061,713.0,
