,PSA,Length,Onset,OnsetTR,OffsetTR
0,Count,3.10170006752,5.10098099709,2.0,5.0
1,08_The Real Cost Commercial-Band_30_2015_04_10_TESFA-.mov,31.2012329102,37.2005870342,6.0,37.0
2,Imagine,11.0,58.0226159096,47.0,
3,Count,3.58252000809,65.5811929703,62.0,66.0
4,03_The Real Cost Commercial-Alison-.mov,31.6652379036,97.6639890671,66.0,98.0
5,Imagine,11.0,119.020019054,108.0,
6,Count,3.11310195923,126.111253023,123.0,126.0
7,12_The Real Cost Commercial-Found It-.mov,31.1959910393,158.194200039,127.0,158.0
8,Imagine,11.0,179.016366959,168.0,
9,Count,3.59378695488,186.591360092,183.0,187.0
10,02_The Real Cost Commercial-Your Teeth-.mov,31.7099750042,218.707604885,187.0,219.0
11,Imagine,11.0,240.030778885,229.0,
12,Count,3.15776395798,247.154772997,244.0,247.0
13,09_The Real Cost Commercial-#ReasonsNotToSmoke-.mov,31.2739439011,279.270987988,248.0,279.0
14,Imagine,11.0,300.026247978,289.0,
15,Count,3.65520405769,307.651580095,304.0,308.0
16,10_The Real Cost Commercial-Any Reason-.mov,31.7379691601,339.734432936,308.0,340.0
17,Imagine,11.0,361.007708073,350.0,
18,Count,3.15155911446,368.148299932,365.0,368.0
19,11_The Real Cost Commercial-Science Class-.mov,31.2685978413,400.264466047,369.0,400.0
20,Imagine,11.0,421.019835949,410.0,
21,Count,3.61550307274,428.611654043,425.0,429.0
22,06_The Real Cost Commercial-#7000chemicals-.mov,31.7316858768,460.72796607,429.0,461.0
23,Imagine,11.0,482.017126083,471.0,
24,Count,3.14623999596,489.141735077,486.0,489.0
25,05_The Real Cost Commercial-Bully-.mov,31.2623639107,521.257977962,490.0,521.0
26,Imagine,11.0,542.013659954,531.0,
27,Count,3.62690019608,549.621746063,546.0,550.0
28,01_The Real Cost Commercial-Your Skin-.mov,31.7097480297,581.70463109,550.0,582.0
29,Imagine,11.0,603.027743101,592.0,
30,Count,3.15752696991,610.151763916,607.0,610.0
31,04_The Real Cost Commercial-Stay In Control-.mov,31.2402620316,642.234585047,611.0,642.0
32,Imagine,11.0,663.023601055,652.0,
33,Count,3.65499210358,670.648516893,667.0,671.0
34,07_The Real Cost Commercial-Dance30_2015_04_10_TESFA-.mov,31.7877368927,702.781383991,671.0,703.0
35,Imagine,11.0,724.004731894,713.0,
