,PSA,Length,Onset,OnsetTR,OffsetTR
0,Count,3.10709023476,5.10669898987,2.0,5.0
1,07_The Real Cost Commercial-Dance30_2015_04_10_TESFA-.mov,31.2068691254,37.2066149712,6.0,37.0
2,Imagine,11.0,58.0319020748,47.0,
3,Count,3.60447716713,65.604131937,62.0,66.0
4,01_The Real Cost Commercial-Your Skin-.mov,31.7377429008,97.7375659943,66.0,98.0
5,Imagine,11.0,119.031498909,108.0,
6,Count,3.11850380898,126.118381977,123.0,126.0
7,02_The Real Cost Commercial-Your Teeth-.mov,31.2182610035,158.218363047,127.0,158.0
8,Imagine,11.0,179.028373957,168.0,
9,Count,3.61582684517,186.615869999,183.0,187.0
10,03_The Real Cost Commercial-Alison-.mov,31.7322468758,218.732496977,187.0,219.0
11,Imagine,11.0,240.025198936,229.0,
12,Count,3.1132209301,247.113446951,244.0,247.0
13,06_The Real Cost Commercial-#7000chemicals-.mov,31.2305879593,279.230015039,248.0,279.0
14,Imagine,11.0,300.018876076,289.0,
15,Count,3.6782579422,307.6775949,304.0,308.0
16,10_The Real Cost Commercial-Any Reason-.mov,31.8114600182,339.810945988,308.0,340.0
17,Imagine,11.0,361.018893957,350.0,
18,Count,3.12548112869,368.125032902,365.0,368.0
19,09_The Real Cost Commercial-#ReasonsNotToSmoke-.mov,31.2086801529,400.208335876,369.0,400.0
20,Imagine,11.0,421.034301996,410.0,
21,Count,3.65620803833,428.65593195,425.0,429.0
22,12_The Real Cost Commercial-Found It-.mov,31.7729649544,460.772763014,429.0,461.0
23,Imagine,11.0,482.031267881,471.0,
24,Count,3.13690900803,489.136756897,486.0,489.0
25,05_The Real Cost Commercial-Bully-.mov,31.2701809406,521.270102978,490.0,521.0
26,Imagine,11.0,542.027971983,531.0,
27,Count,3.66755008698,549.667551994,546.0,550.0
28,11_The Real Cost Commercial-Science Class-.mov,31.8007760048,581.800870895,550.0,582.0
29,Imagine,11.0,603.027626038,592.0,
30,Count,3.13169002533,610.131783009,607.0,610.0
31,04_The Real Cost Commercial-Stay In Control-.mov,31.2480480671,642.248353004,611.0,642.0
32,Imagine,11.0,663.021656036,652.0,
33,Count,3.62899184227,670.629277945,667.0,671.0
34,08_The Real Cost Commercial-Band_30_2015_04_10_TESFA-.mov,31.7120900154,702.712455988,671.0,703.0
35,Imagine,11.0,724.018541098,713.0,
