,PSA,Length,Onset,OnsetTR,OffsetTR
0,Count,3.08290886879,5.0812830925,2.0,5.0
1,10_The Real Cost Commercial-Any Reason-.mov,31.2003819942,37.19779706,6.0,37.0
2,Imagine,11.0,58.0223941803,47.0,
3,Count,3.59784698486,65.5953681469,62.0,66.0
4,04_The Real Cost Commercial-Stay In Control-.mov,31.7144360542,97.7120912075,66.0,98.0
5,Imagine,11.0,119.019199133,108.0,
6,Count,3.11188006401,126.109548092,123.0,126.0
7,11_The Real Cost Commercial-Science Class-.mov,31.2450950146,158.242886066,127.0,158.0
8,Imagine,11.0,179.032104015,168.0,
9,Count,3.59254002571,186.590299129,183.0,187.0
10,05_The Real Cost Commercial-Bully-.mov,31.7255549431,218.723639011,187.0,219.0
11,Imagine,11.0,240.030487061,229.0,
12,Count,3.13994693756,247.1378901,244.0,247.0
13,03_The Real Cost Commercial-Alison-.mov,31.2397630215,279.237837076,248.0,279.0
14,Imagine,11.0,300.012441158,289.0,
15,Count,3.65395402908,307.652065992,304.0,308.0
16,07_The Real Cost Commercial-Dance30_2015_04_10_TESFA-.mov,31.7538299561,339.752041101,308.0,340.0
17,Imagine,11.0,361.011948109,350.0,
18,Count,3.16792607307,368.166257143,365.0,368.0
19,02_The Real Cost Commercial-Your Teeth-.mov,31.2845189571,400.28293705,369.0,400.0
20,Imagine,11.0,421.024877071,410.0,
21,Count,3.63196396828,428.630425215,425.0,429.0
22,01_The Real Cost Commercial-Your Skin-.mov,31.7160329819,460.713698149,429.0,461.0
23,Imagine,11.0,482.02017808,471.0,
24,Count,3.18027687073,489.177950144,486.0,489.0
25,12_The Real Cost Commercial-Found It-.mov,31.3136219978,521.311358213,490.0,521.0
26,Imagine,11.0,543.021124125,532.0,
27,Count,3.11124205589,550.109048128,547.0,550.0
28,06_The Real Cost Commercial-#7000chemicals-.mov,31.2443449497,582.242336035,551.0,582.0
29,Imagine,11.0,603.035493135,592.0,
30,Count,3.62527298927,610.623148203,607.0,611.0
31,09_The Real Cost Commercial-#ReasonsNotToSmoke-.mov,31.741797924,642.739838123,611.0,643.0
32,Imagine,11.0,664.03354907,653.0,
33,Count,3.15596604347,671.154056072,668.0,671.0
34,08_The Real Cost Commercial-Band_30_2015_04_10_TESFA-.mov,31.2723281384,703.270578146,672.0,703.0
35,Imagine,11.0,724.027709007,713.0,
