,PSA,Length,Onset,OnsetTR,OffsetTR
0,Count,3.09238600731,5.09182906151,2.0,5.0
1,05_The Real Cost Commercial-Bully-.mov,31.2098209858,37.2083940506,6.0,37.0
2,Imagine,11.0,58.0337882042,47.0,
3,Count,3.55635809898,65.5559329987,62.0,66.0
4,02_The Real Cost Commercial-Your Teeth-.mov,31.6738629341,97.6725611687,66.0,98.0
5,Imagine,11.0,119.014682055,108.0,
6,Count,3.10459518433,126.103410006,123.0,126.0
7,09_The Real Cost Commercial-#ReasonsNotToSmoke-.mov,31.237735033,158.23668313,127.0,158.0
8,Imagine,11.0,179.027458191,168.0,
9,Count,3.61880517006,186.617609978,183.0,187.0
10,04_The Real Cost Commercial-Stay In Control-.mov,31.7019560337,218.700888157,187.0,219.0
11,Imagine,11.0,240.024266005,229.0,
12,Count,3.13278794289,247.131770134,244.0,247.0
13,07_The Real Cost Commercial-Dance30_2015_04_10_TESFA-.mov,31.2159070969,279.215089083,248.0,279.0
14,Imagine,11.0,300.02363801,289.0,
15,Count,3.64684987068,307.645919085,304.0,308.0
16,10_The Real Cost Commercial-Any Reason-.mov,31.779971838,339.779170036,308.0,340.0
17,Imagine,11.0,361.036497116,350.0,
18,Count,3.14408993721,368.143378973,365.0,368.0
19,06_The Real Cost Commercial-#7000chemicals-.mov,31.260529995,400.259894133,369.0,400.0
20,Imagine,11.0,421.033358097,410.0,
21,Count,3.64156293869,428.640865088,425.0,429.0
22,03_The Real Cost Commercial-Alison-.mov,31.7746911049,460.774159193,429.0,461.0
23,Imagine,11.0,482.016731024,471.0,
24,Count,3.13894104958,489.138351202,486.0,489.0
25,08_The Real Cost Commercial-Band_30_2015_04_10_TESFA-.mov,31.2387180328,521.238260984,490.0,521.0
26,Imagine,11.0,542.029533148,531.0,
27,Count,3.63622117043,549.635766029,546.0,550.0
28,12_The Real Cost Commercial-Found It-.mov,31.7203860283,581.719094992,550.0,582.0
29,Imagine,11.0,603.029080153,592.0,
30,Count,3.13336586952,610.133228064,607.0,610.0
31,11_The Real Cost Commercial-Science Class-.mov,31.2176630497,642.216524124,611.0,642.0
32,Imagine,11.0,663.025811195,652.0,
33,Count,3.63193178177,670.630791187,667.0,671.0
34,01_The Real Cost Commercial-Your Skin-.mov,31.7484610081,702.747483015,671.0,703.0
35,Imagine,11.0,724.039499998,713.0,
