,PSA,Length,Onset,OnsetTR,OffsetTR
0,Count,3.06879901886,5.06831979752,2.0,5.0
1,12_The Real Cost Commercial-Found It-.mov,31.1680209637,37.1674590111,6.0,37.0
2,Imagine,11.0,58.0245678425,47.0,
3,Count,3.59960794449,65.5977089405,62.0,66.0
4,04_The Real Cost Commercial-Stay In Control-.mov,31.6987919807,97.6970729828,66.0,98.0
5,Imagine,11.0,119.022383928,108.0,
6,Count,3.16361689568,126.160377979,123.0,126.0
7,10_The Real Cost Commercial-Any Reason-.mov,31.2470829487,158.242915869,127.0,158.0
8,Imagine,11.0,179.034198999,168.0,
9,Count,3.62872886658,186.623035908,183.0,187.0
10,06_The Real Cost Commercial-#7000chemicals-.mov,31.7111389637,218.705514908,187.0,219.0
11,Imagine,11.0,240.028520823,229.0,
12,Count,3.12607288361,247.119108915,244.0,247.0
13,01_The Real Cost Commercial-Your Skin-.mov,31.2408869267,279.234973907,248.0,279.0
14,Imagine,11.0,300.007349014,289.0,
15,Count,3.62334704399,307.615074873,304.0,308.0
16,05_The Real Cost Commercial-Bully-.mov,31.7391738892,339.730927944,308.0,340.0
17,Imagine,11.0,361.00649786,350.0,
18,Count,3.15405797958,368.144471884,365.0,368.0
19,02_The Real Cost Commercial-Your Teeth-.mov,31.2699129581,400.260336876,369.0,400.0
20,Imagine,11.0,422.020530939,411.0,
21,Count,3.11830210686,429.1073699,426.0,429.0
22,08_The Real Cost Commercial-Band_30_2015_04_10_TESFA-.mov,31.2005031109,461.189777851,430.0,461.0
23,Imagine,11.0,482.015853882,471.0,
24,Count,3.61567306519,489.603402853,486.0,490.0
25,09_The Real Cost Commercial-#ReasonsNotToSmoke-.mov,31.731347084,521.719154835,490.0,522.0
26,Imagine,11.0,543.012091875,532.0,
27,Count,3.11300683022,550.09938097,547.0,550.0
28,11_The Real Cost Commercial-Science Class-.mov,31.2455339432,582.231920004,551.0,582.0
29,Imagine,11.0,603.003804922,592.0,
30,Count,3.61035990715,610.595408916,607.0,611.0
31,07_The Real Cost Commercial-Dance30_2015_04_10_TESFA-.mov,31.6936590672,642.677861929,611.0,643.0
32,Imagine,11.0,664.017898798,653.0,
33,Count,3.1086730957,671.091455936,668.0,671.0
34,03_The Real Cost Commercial-Alison-.mov,31.2078139782,703.190603018,672.0,703.0
35,Imagine,11.0,724.015887976,713.0,
