,PSA,Length,Onset,OnsetTR,OffsetTR
0,Count,3.16148400307,5.1610429287,2.0,5.0
1,07_The Real Cost Commercial-Dance30_2015_04_10_TESFA-.mov,31.2785100937,37.2782890797,6.0,37.0
2,Imagine,11.0,58.0231120586,47.0,
3,Count,3.57530498505,65.5767641068,62.0,66.0
4,05_The Real Cost Commercial-Bully-.mov,31.6937429905,97.6954441071,66.0,98.0
5,Imagine,11.0,119.019992113,108.0,
6,Count,3.08880496025,126.092402935,123.0,126.0
7,09_The Real Cost Commercial-#ReasonsNotToSmoke-.mov,31.2065000534,158.210331917,127.0,158.0
8,Imagine,11.0,179.023955107,168.0,
9,Count,3.61935114861,186.624865055,183.0,187.0
10,10_The Real Cost Commercial-Any Reason-.mov,31.7201859951,218.725944042,187.0,219.0
11,Imagine,11.0,240.030680895,229.0,
12,Count,3.08412790298,247.091594934,244.0,247.0
13,12_The Real Cost Commercial-Found It-.mov,31.2012600899,279.20908308,248.0,279.0
14,Imagine,11.0,300.034693003,289.0,
15,Count,3.63088011742,307.640300035,304.0,308.0
16,06_The Real Cost Commercial-#7000chemicals-.mov,31.7502889633,339.759071112,308.0,340.0
17,Imagine,11.0,361.036032915,350.0,
18,Count,3.09540700912,368.10690999,365.0,368.0
19,01_The Real Cost Commercial-Your Skin-.mov,31.1807291508,400.191551924,369.0,400.0
20,Imagine,11.0,421.034662962,410.0,
21,Count,3.59300494194,428.605480909,425.0,429.0
22,02_The Real Cost Commercial-Your Teeth-.mov,31.7104001045,460.723218918,429.0,461.0
23,Imagine,11.0,482.033369064,471.0,
24,Count,3.14113903046,489.155657053,486.0,489.0
25,11_The Real Cost Commercial-Science Class-.mov,31.2579159737,521.272927046,490.0,521.0
26,Imagine,11.0,542.033845901,531.0,
27,Count,3.6379430294,549.654432058,546.0,550.0
28,03_The Real Cost Commercial-Alison-.mov,31.7228519917,581.739598989,550.0,582.0
29,Imagine,11.0,603.045871019,592.0,
30,Count,3.13244485855,610.150948048,607.0,610.0
31,08_The Real Cost Commercial-Band_30_2015_04_10_TESFA-.mov,31.2204017639,642.239254951,611.0,642.0
32,Imagine,11.0,663.048000097,652.0,
33,Count,3.59935092926,670.619738102,667.0,671.0
34,04_The Real Cost Commercial-Stay In Control-.mov,31.7175459862,702.73824811,671.0,703.0
35,Imagine,11.0,724.049366951,713.0,
