,PSA,Length,Onset,OnsetTR,OffsetTR
0,Count,3.10897016525,5.10904097557,2.0,5.0
1,05_The Real Cost Commercial-Bully-.mov,31.2253580093,37.2255129814,6.0,37.0
2,Imagine,11.0,58.0186510086,47.0,
3,Count,3.55613303185,65.5563879013,62.0,66.0
4,10_The Real Cost Commercial-Any Reason-.mov,31.6726520061,97.6730167866,66.0,98.0
5,Imagine,11.0,119.031352997,108.0,
6,Count,3.13697910309,126.137210846,123.0,126.0
7,11_The Real Cost Commercial-Science Class-.mov,31.2544059753,158.253799915,127.0,158.0
8,Imagine,11.0,179.028104782,168.0,
9,Count,3.63531899452,186.634682894,183.0,187.0
10,04_The Real Cost Commercial-Stay In Control-.mov,31.7184619904,218.717952967,187.0,219.0
11,Imagine,11.0,240.027020931,229.0,
12,Count,3.14931917191,247.14881587,244.0,247.0
13,01_The Real Cost Commercial-Your Skin-.mov,31.282638073,279.282281876,248.0,279.0
14,Imagine,11.0,301.021719933,290.0,
15,Count,3.14698004723,308.146535873,305.0,308.0
16,07_The Real Cost Commercial-Dance30_2015_04_10_TESFA-.mov,31.2299940586,340.229676008,309.0,340.0
17,Imagine,11.0,361.021214008,350.0,
18,Count,3.62756800652,368.627213955,365.0,369.0
19,02_The Real Cost Commercial-Your Teeth-.mov,31.7439870834,400.743858814,369.0,401.0
20,Imagine,11.0,422.017363787,411.0,
21,Count,3.15827608109,429.158036947,426.0,429.0
22,08_The Real Cost Commercial-Band_30_2015_04_10_TESFA-.mov,31.2413840294,461.241367817,430.0,461.0
23,Imagine,11.0,482.033389807,471.0,
24,Count,3.63902807236,489.638851881,486.0,490.0
25,12_The Real Cost Commercial-Found It-.mov,31.7554190159,521.755462885,490.0,522.0
26,Imagine,11.0,543.032824993,532.0,
27,Count,3.11973881721,550.119674921,547.0,550.0
28,03_The Real Cost Commercial-Alison-.mov,31.2194020748,582.219551802,551.0,582.0
29,Imagine,11.0,603.029657841,592.0,
30,Count,3.65021181107,610.650364876,607.0,611.0
31,06_The Real Cost Commercial-#7000chemicals-.mov,31.7668170929,642.767061949,611.0,643.0
32,Imagine,11.0,664.023780823,653.0,
33,Count,3.13194513321,671.131183863,668.0,671.0
34,09_The Real Cost Commercial-#ReasonsNotToSmoke-.mov,31.2149958611,703.214448929,672.0,703.0
35,Imagine,11.0,724.020780802,713.0,
