,PSA,Length,Onset,OnsetTR,OffsetTR
0,Count,3.07307291031,5.07268500328,2.0,5.0
1,02_The Real Cost Commercial-Your Teeth-.mov,31.1731250286,37.1717290878,6.0,37.0
2,Imagine,11.0,58.0309309959,47.0,
3,Count,3.58821606636,65.5851800442,62.0,66.0
4,10_The Real Cost Commercial-Any Reason-.mov,31.7373411655,97.7343010902,66.0,98.0
5,Imagine,11.0,119.011135101,108.0,
6,Count,3.08556103706,126.081069946,123.0,126.0
7,06_The Real Cost Commercial-#7000chemicals-.mov,31.2012829781,158.196727037,127.0,158.0
8,Imagine,11.0,179.022356033,168.0,
9,Count,3.63295888901,186.626878977,183.0,187.0
10,12_The Real Cost Commercial-Found It-.mov,31.731995821,218.72596097,187.0,219.0
11,Imagine,11.0,240.019139051,229.0,
12,Count,3.14688014984,247.139395952,244.0,247.0
13,05_The Real Cost Commercial-Bully-.mov,31.2458810806,279.238469124,248.0,279.0
14,Imagine,11.0,300.014202118,289.0,
15,Count,3.62763500214,307.618497133,304.0,308.0
16,09_The Real Cost Commercial-#ReasonsNotToSmoke-.mov,31.7435541153,339.734407902,308.0,340.0
17,Imagine,11.0,361.026683092,350.0,
18,Count,3.14169716835,368.131297112,365.0,368.0
19,08_The Real Cost Commercial-Band_30_2015_04_10_TESFA-.mov,31.2417500019,400.230394125,369.0,400.0
20,Imagine,11.0,421.023550034,410.0,
21,Count,3.67346096039,428.660620928,425.0,429.0
22,07_The Real Cost Commercial-Dance30_2015_04_10_TESFA-.mov,31.7724499702,460.759802103,429.0,461.0
23,Imagine,11.0,482.02006197,471.0,
24,Count,3.32832384109,489.123292923,486.0,489.0
25,01_The Real Cost Commercial-Your Skin-.mov,31.2698290348,521.255846977,490.0,521.0
26,Imagine,11.0,542.999337912,532.0,
27,Count,3.10167813301,550.086319923,547.0,550.0
28,04_The Real Cost Commercial-Stay In Control-.mov,31.2342209816,582.218852997,551.0,582.0
29,Imagine,11.0,603.010731936,592.0,
30,Count,3.63224697113,610.61560297,607.0,611.0
31,03_The Real Cost Commercial-Alison-.mov,31.7646889687,642.748095989,611.0,643.0
32,Imagine,11.0,664.007719994,653.0,
33,Count,3.16305494308,671.144978046,668.0,671.0
34,11_The Real Cost Commercial-Science Class-.mov,31.2621159554,703.244220972,672.0,703.0
35,Imagine,11.0,724.003036022,713.0,
