,PSA,Length,Onset,OnsetTR,OffsetTR
0,Count,3.11033797264,5.1100730896,2.0,5.0
1,02_The Real Cost Commercial-Your Teeth-.mov,31.2436509132,37.2434689999,6.0,37.0
2,Imagine,11.0,58.0197069645,47.0,
3,Count,3.59108996391,65.5908789635,62.0,66.0
4,04_The Real Cost Commercial-Stay In Control-.mov,31.7075419426,97.7075340748,66.0,98.0
5,Imagine,11.0,119.032711029,108.0,
6,Count,3.12179684639,126.121767044,123.0,126.0
7,12_The Real Cost Commercial-Found It-.mov,31.2381770611,158.238298178,127.0,158.0
8,Imagine,11.0,179.029662132,168.0,
9,Count,3.61911702156,186.619307041,183.0,187.0
10,08_The Real Cost Commercial-Band_30_2015_04_10_TESFA-.mov,31.719121933,218.719396114,187.0,219.0
11,Imagine,11.0,240.025881052,229.0,
12,Count,3.13318395615,247.133496046,244.0,247.0
13,01_The Real Cost Commercial-Your Skin-.mov,31.2495090961,279.250030994,248.0,279.0
14,Imagine,11.0,300.025985956,289.0,
15,Count,3.64718580246,307.647639036,304.0,308.0
16,03_The Real Cost Commercial-Alison-.mov,31.7645580769,339.764295101,308.0,340.0
17,Imagine,11.0,361.021260977,350.0,
18,Count,3.12878608704,368.128460169,365.0,368.0
19,06_The Real Cost Commercial-#7000chemicals-.mov,31.2453200817,400.245160103,369.0,400.0
20,Imagine,11.0,421.019674063,410.0,
21,Count,3.65948009491,428.659317017,425.0,429.0
22,11_The Real Cost Commercial-Science Class-.mov,31.7760798931,460.776051998,429.0,461.0
23,Imagine,11.0,482.032521009,471.0,
24,Count,3.14021492004,489.140194178,486.0,489.0
25,07_The Real Cost Commercial-Dance30_2015_04_10_TESFA-.mov,31.2399461269,521.240046978,490.0,521.0
26,Imagine,11.0,542.029402971,531.0,
27,Count,3.63754820824,549.637706041,546.0,550.0
28,10_The Real Cost Commercial-Any Reason-.mov,31.7706940174,581.771059036,550.0,582.0
29,Imagine,11.0,603.026851177,592.0,
30,Count,3.15148901939,610.151839018,607.0,610.0
31,05_The Real Cost Commercial-Bully-.mov,31.2680621147,642.268552065,611.0,642.0
32,Imagine,11.0,663.023718119,652.0,
33,Count,3.68224000931,670.682698011,667.0,671.0
34,09_The Real Cost Commercial-#ReasonsNotToSmoke-.mov,31.7652630806,702.765938997,671.0,703.0
35,Imagine,11.0,724.025212049,713.0,
